,Timestamp,Data,AX,AY,AZ,fAX,fAY,fAZ
0,18:17:58:418,0001799643 [app] INFO: ACCEL: ,32.0,-288.0,-224.0,2.453399,-0.454532,2.579186
1,18:17:58:509,0001799734 [app] INFO: ACCEL: ,-96.0,-32.0,-32.0,2.290591,-0.49844,2.506613
2,18:17:58:599,0001799824 [app] INFO: ACCEL: ,64.0,-64.0,64.0,2.392669,-0.58676,2.635491
3,18:17:58:688,0001799914 [app] INFO: ACCEL: ,-32.0,-32.0,-64.0,2.335802,-0.630445,2.495957
4,18:17:58:777,0001800004 [app] INFO: ACCEL: ,-32.0,-32.0,64.0,2.279083,-0.674036,2.624648
5,18:17:58:871,0001800094 [app] INFO: ACCEL: ,32.0,-32.0,-160.0,2.328131,-0.717533,2.284667
6,18:17:58:958,0001800184 [app] INFO: ACCEL: ,-32.0,-64.0,0.0,2.27154,-0.805336,2.279885
7,18:17:59:051,0001800274 [app] INFO: ACCEL: ,64.0,32.0,32.0,2.373204,-0.759825,2.341962
8,18:17:59:182,0001800364 [app] INFO: ACCEL: ,-64.0,160.0,96.0,2.263936,-0.536965,2.537296
9,18:17:59:321,0001800499 [app] INFO: ACCEL: ,64.0,320.0,64.0,2.365537,-0.091797,2.665455
10,18:17:59:409,0001800634 [app] INFO: ACCEL: ,0.0,-192.0,128.0,2.361646,-0.359657,2.926573
11,18:17:59:498,0001800724 [app] INFO: ACCEL: ,96.0,128.0,32.0,2.515441,-0.18006,2.987169
12,18:17:59:588,0001800814 [app] INFO: ACCEL: ,0.0,64.0,-96.0,2.511309,-0.090157,2.781166
13,18:17:59:678,0001800904 [app] INFO: ACCEL: ,32.0,32.0,-96.0,2.559676,-0.04521,2.575613
14,18:17:59:769,0001800994 [app] INFO: ACCEL: ,-96.0,96.0,96.0,2.398188,0.089211,2.769997
15,18:17:59:862,0001801084 [app] INFO: ACCEL: ,0.0,160.0,-160.0,2.394258,0.313133,2.431401
16,18:17:59:947,0001801174 [app] INFO: ACCEL: ,-64.0,32.0,0.0,2.285609,0.357583,2.426337
17,18:18:00:041,0001801264 [app] INFO: ACCEL: ,-64.0,-224.0,32.0,2.177172,0.043097,2.487803
18,18:18:00:128,0001801354 [app] INFO: ACCEL: ,0.0,-32.0,96.0,2.173611,-0.001957,2.681871
19,18:18:00:218,0001801444 [app] INFO: ACCEL: ,-64.0,32.0,160.0,2.065563,0.043004,3.00829
20,18:18:00:308,0001801534 [app] INFO: ACCEL: ,96.0,-64.0,-128.0,2.218892,-0.046904,2.736173
21,18:18:00:398,0001801624 [app] INFO: ACCEL: ,32.0,0.0,-64.0,2.267515,-0.046839,2.597481
22,18:18:00:488,0001801714 [app] INFO: ACCEL: ,64.0,32.0,-64.0,2.3682,-0.001917,2.45918
23,18:18:00:578,0001801804 [app] INFO: ACCEL: ,-32.0,32.0,-96.0,2.312168,0.042907,2.254866
24,18:18:00:668,0001801894 [app] INFO: ACCEL: ,32.0,0.0,0.0,2.360524,0.042847,2.250187
25,18:18:00:803,0001802028 [app] INFO: ACCEL: ,64.0,0.0,-64.0,2.460819,0.042787,2.113004
26,18:18:00:893,0001802119 [app] INFO: ACCEL: ,-96.0,32.0,64.0,2.300674,0.08739,2.0
27,18:18:00:983,0001802209 [app] INFO: ACCEL: ,0.0,0.0,96.0,2.296931,0.087268,2.434896
28,18:18:01:073,0001802299 [app] INFO: ACCEL: ,0.0,-64.0,64.0,2.2932,-0.001987,2.562152
29,18:18:01:163,0001802389 [app] INFO: ACCEL: ,-32.0,-96.0,-32.0,2.23758,-0.135669,2.490771
30,18:18:01:252,0001802479 [app] INFO: ACCEL: ,-32.0,-160.0,32.0,2.182101,-0.358405,2.551632
31,18:18:01:342,0001802569 [app] INFO: ACCEL: ,0.0,128.0,-32.0,2.178569,-0.179244,2.480476
32,18:18:01:432,0001802659 [app] INFO: ACCEL: ,32.0,-64.0,-64.0,2.22677,-0.268428,2.343752
33,18:18:01:523,0001802749 [app] INFO: ACCEL: ,-32.0,64.0,96.0,2.171505,-0.17863,2.536226
34,18:18:01:613,0001802839 [app] INFO: ACCEL: ,-64.0,32.0,0.0,2.064758,-0.133674,2.531014
35,18:18:01:703,0001802929 [app] INFO: ACCEL: ,0.0,0.0,64.0,2.061429,-0.133487,2.657063
36,18:18:01:793,0001803019 [app] INFO: ACCEL: ,-32.0,-64.0,-32.0,2.006584,-0.222522,2.586053
37,18:18:01:883,0001803109 [app] INFO: ACCEL: ,-32.0,32.0,-32.0,1.951878,-0.177607,2.515285
38,18:18:01:974,0001803199 [app] INFO: ACCEL: ,-32.0,-64.0,-32.0,1.897311,-0.266504,2.444757
39,18:18:02:064,0001803289 [app] INFO: ACCEL: ,-96.0,-96.0,64.0,1.740117,-0.399833,2.570368
40,18:18:02:162,0001803379 [app] INFO: ACCEL: ,32.0,32.0,-64.0,1.788723,-0.354686,2.434633
41,18:18:02:246,0001803469 [app] INFO: ACCEL: ,-64.0,0.0,-64.0,1.683155,-0.354192,2.299271
42,18:18:02:336,0001803559 [app] INFO: ACCEL: ,128.0,64.0,32.0,1.88579,-0.264709,2.359744
43,18:18:02:424,0001803649 [app] INFO: ACCEL: ,32.0,-32.0,-32.0,1.934143,-0.308832,2.289886
44,18:18:02:514,0001803739 [app] INFO: ACCEL: ,32.0,-96.0,-64.0,1.98237,-0.441773,2.15529
45,18:18:02:604,0001803829 [app] INFO: ACCEL: ,-64.0,0.0,-64.0,1.876638,-0.441159,2.021063
46,18:18:02:694,0001803919 [app] INFO: ACCEL: ,0.0,0.0,0.0,1.873631,-0.440546,2.016965
47,18:18:02:784,0001804010 [app] INFO: ACCEL: ,-128.0,-64.0,0.0,1.665901,-0.528651,2.012884
48,18:18:02:874,0001804099 [app] INFO: ACCEL: ,-32.0,-64.0,96.0,1.612,-0.616622,2.202692
49,18:18:02:966,0001804189 [app] INFO: ACCEL: ,-96.0,64.0,-64.0,1.455862,-0.527074,2.069014
50,18:18:03:054,0001804279 [app] INFO: ACCEL: ,-96.0,-32.0,0.0,1.299919,-0.570686,2.064839
51,18:18:03:145,0001804369 [app] INFO: ACCEL: ,0.0,0.0,32.0,1.297838,-0.569896,2.125124
52,18:18:03:233,0001804459 [app] INFO: ACCEL: ,-64.0,96.0,64.0,1.19348,-0.436363,2.249553
53,18:18:03:324,0001804549 [app] INFO: ACCEL: ,64.0,64.0,-32.0,1.293827,-0.347214,2.180731
54,18:18:03:413,0001804639 [app] INFO: ACCEL: ,32.0,32.0,32.0,1.342869,-0.302465,2.240572
55,18:18:03:504,0001804729 [app] INFO: ACCEL: ,0.0,96.0,-32.0,1.340727,-0.169339,2.171956
56,18:18:03:594,0001804819 [app] INFO: ACCEL: ,288.0,160.0,-32.0,1.797401,0.052193,2.103567
57,18:18:03:684,0001804909 [app] INFO: ACCEL: ,96.0,-160.0,0.0,1.948093,-0.169579,2.099363
58,18:18:03:775,0001804999 [app] INFO: ACCEL: ,96.0,-128.0,64.0,2.098586,-0.347024,2.22284
59,18:18:03:864,0001805089 [app] INFO: ACCEL: ,4832.0,-2784.0,-1504.0,9.829102,-4.215586,-0.779451
60,18:18:03:955,0001805179 [app] INFO: ACCEL: ,-480.0,-768.0,-32.0,8.970878,-5.334504,-0.843425
61,18:18:04:045,0001805269 [app] INFO: ACCEL: ,-160.0,224.0,-96.0,8.672453,-4.993911,-1.038133
62,18:18:04:133,0001805359 [app] INFO: ACCEL: ,64.0,64.0,-256.0,8.770326,-4.891129,-1.559754
63,18:18:04:225,0001805449 [app] INFO: ACCEL: ,-768.0,-288.0,96.0,7.39716,-5.312836,-1.359552
64,18:18:04:313,0001805539 [app] INFO: ACCEL: ,256.0,-96.0,128.0,7.842665,-5.448482,-1.094122
65,18:18:04:404,0001805629 [app] INFO: ACCEL: ,0.0,-160.0,160.0,7.828566,-5.679725,-0.763402
66,18:18:04:495,0001805719 [app] INFO: ACCEL: ,96.0,128.0,-160.0,7.986813,-5.479393,-1.090688
67,18:18:04:583,0001805809 [app] INFO: ACCEL: ,192.0,32.0,-256.0,8.317061,-5.423161,-1.615202
68,18:18:04:675,0001805899 [app] INFO: ACCEL: ,-448.0,-480.0,256.0,7.496573,-6.134657,-1.083517
69,18:18:04:764,0001805989 [app] INFO: ACCEL: ,-256.0,-288.0,160.0,7.019331,-6.560602,-0.750041
70,18:18:04:944,0001806169 [app] INFO: ACCEL: ,-32.0,192.0,-32.0,7.225853,-6.394737,-1.144253
71,18:18:05:034,0001806259 [app] INFO: ACCEL: ,256.0,-128.0,-32.0,7.678072,-6.57976,-1.208181
72,18:18:05:124,0001806349 [app] INFO: ACCEL: ,-352.0,32.0,32.0,7.022198,-6.521008,-1.139479
73,18:18:05:213,0001806439 [app] INFO: ACCEL: ,288.0,32.0,0.0,7.537302,-6.462389,-1.137125
74,18:18:05:303,0001806529 [app] INFO: ACCEL: ,-96.0,-160.0,192.0,7.346776,-6.695857,-0.73893
75,18:18:05:408,0001806619 [app] INFO: ACCEL: ,0.0,32.0,64.0,7.333254,-6.636925,-0.605218
76,18:18:05:483,0001806709 [app] INFO: ACCEL: ,-224.0,480.0,-256.0,6.908187,-5.896364,-1.132305
77,18:18:05:574,0001806799 [app] INFO: ACCEL: ,-128.0,1888.0,544.0,6.659609,-2.990656,-0.003848
78,18:18:05:663,0001806889 [app] INFO: ACCEL: ,-256.0,-736.0,928.0,6.175231,-4.156017,1.934064
79,18:18:05:753,0001806981 [app] INFO: ACCEL: ,160.0,288.0,-480.0,6.459866,-3.685488,0.911158
80,18:18:05:846,0001807069 [app] INFO: ACCEL: ,352.0,-1568.0,-352.0,7.100029,-6.215502,0.1565
81,18:18:05:934,0001807159 [app] INFO: ACCEL: ,-256.0,96.0,-320.0,6.610144,-6.045297,-0.531466
82,18:18:06:024,0001807249 [app] INFO: ACCEL: ,-256.0,288.0,-160.0,6.119516,-5.555483,-0.87559
83,18:18:06:116,0001807339 [app] INFO: ACCEL: ,-32.0,128.0,512.0,6.048059,-5.332075,0.232295
84,18:18:06:207,0001807429 [app] INFO: ACCEL: ,256.0,384.0,-96.0,6.516089,-4.680165,0.022745
85,18:18:06:292,0001807519 [app] INFO: ACCEL: ,96.0,-128.0,-128.0,6.684168,-4.887913,-0.25596
86,18:18:06:383,0001807609 [app] INFO: ACCEL: ,-256.0,-288.0,-224.0,6.190812,-5.365222,-0.743232
87,18:18:06:473,0001807699 [app] INFO: ACCEL: ,-480.0,-64.0,-416.0,5.274612,-5.464468,-1.649647
88,18:18:06:567,0001807789 [app] INFO: ACCEL: ,-512.0,32.0,288.0,4.292227,-5.401088,-1.013554
89,18:18:06:656,0001807879 [app] INFO: ACCEL: ,480.0,640.0,288.0,5.203269,-4.310273,-0.376588
90,18:18:06:745,0001807978 [app] INFO: ACCEL: ,512.0,-928.0,288.0,6.181192,-5.888883,0.261234
91,18:18:06:834,0001808059 [app] INFO: ACCEL: ,-32.0,128.0,-256.0,6.106915,-5.656241,-0.30756
92,18:18:06:925,0001808149 [app] INFO: ACCEL: ,-192.0,640.0,-64.0,5.721976,-4.533319,-0.449339
93,18:18:07:016,0001808239 [app] INFO: ACCEL: ,320.0,448.0,-1248.0,6.333872,-3.737513,-3.223735
94,18:18:07:103,0001808329 [app] INFO: ACCEL: ,-192.0,-448.0,-960.0,5.946051,-4.524448,-5.399615
95,18:18:07:195,0001808419 [app] INFO: ACCEL: ,128.0,-800.0,32.0,6.185192,-5.943482,-5.313135
96,18:18:07:284,0001808509 [app] INFO: ACCEL: ,-1408.0,256.0,-896.0,3.413053,-5.469631,-7.369485
97,18:18:07:376,0001808599 [app] INFO: ACCEL: ,0.0,-32.0,-128.0,3.406187,-5.517787,-7.652284
98,18:18:07:466,0001808689 [app] INFO: ACCEL: ,-352.0,64.0,96.0,2.69263,-5.391764,-7.409273
99,18:18:07:557,0001808779 [app] INFO: ACCEL: ,-928.0,224.0,-96.0,0.814572,-4.976092,-7.616915
100,18:18:07:647,0001808869 [app] INFO: ACCEL: ,-704.0,-96.0,1088.0,-0.631186,-5.141489,-5.050438
101,18:18:07:735,0001808959 [app] INFO: ACCEL: ,608.0,-128.0,672.0,0.632245,-5.364731,-3.433568
102,18:18:07:828,0001809049 [app] INFO: ACCEL: ,-1344.0,256.0,-896.0,-2.187071,-4.889512,-5.58876
103,18:18:07:914,0001809139 [app] INFO: ACCEL: ,-192.0,-7104.0,-14208.0,-2.594881,-17.841055,-40.40852
104,18:18:08:007,0001809229 [app] INFO: ACCEL: ,1600.0,1344.0,-4864.0,0.853895,-15.009666,-55.545891
105,18:18:08:140,0001809319 [app] INFO: ACCEL: ,1824.0,1024.0,2624.0,4.894076,-12.795365,-46.357346
106,18:18:08:320,0001809544 [app] INFO: ACCEL: ,-1024.0,544.0,1440.0,2.960668,-9.879374,-38.845547
107,18:18:08:409,0001809634 [app] INFO: ACCEL: ,288.0,-256.0,-224.0,3.626707,-10.42558,-39.534878
108,18:18:08:500,0001809724 [app] INFO: ACCEL: ,-512.0,288.0,64.0,2.417837,-9.761517,-39.149429
109,18:18:08:589,0001809814 [app] INFO: ACCEL: ,608.0,-352.0,-1696.0,3.848856,-10.525908,-45.307495
110,18:18:08:683,0001809904 [app] INFO: ACCEL: ,7424.0,-5152.0,512.0,21.553057,-22.06208,-43.175682
111,18:18:08:768,0001809994 [app] INFO: ACCEL: ,-2080.0,2720.0,1312.0,15.810439,-15.293674,-37.954277
112,18:18:08:863,0001810084 [app] INFO: ACCEL: ,-928.0,-224.0,128.0,13.130653,-15.835678,-37.300125
113,18:18:08:954,0001810174 [app] INFO: ACCEL: ,512.0,0.0,-1312.0,14.56968,-15.794489,-42.32151
114,18:18:09:041,0001810264 [app] INFO: ACCEL: ,-128.0,960.0,640.0,14.15553,-13.262206,-39.576229
115,18:18:09:130,0001810354 [app] INFO: ACCEL: ,-64.0,160.0,-448.0,13.928511,-12.805008,-41.235157
116,18:18:09:219,0001810444 [app] INFO: ACCEL: ,672.0,544.0,288.0,15.837456,-11.334534,-39.892448
117,18:18:09:308,0001810534 [app] INFO: ACCEL: ,0.0,0.0,992.0,15.791046,-11.304347,-35.673729
118,18:18:09:398,0001810624 [app] INFO: ACCEL: ,-576.0,0.0,480.0,14.061393,-11.274314,-33.530914
119,18:18:09:488,0001810714 [app] INFO: ACCEL: ,576.0,-64.0,-352.0,15.718334,-11.414053,-34.862331
120,18:18:09:578,0001810804 [app] INFO: ACCEL: ,160.0,640.0,1632.0,16.147268,-9.690365,-27.878721
121,18:18:09:668,0001810894 [app] INFO: ACCEL: ,-224.0,-864.0,-608.0,15.433405,-11.974257,-30.379442
122,18:18:09:757,0001810984 [app] INFO: ACCEL: ,32.0,-352.0,-1312.0,15.48274,-12.896299,-35.943939
