,timestamp (ms),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Speed(Km/h)
0,2019518,0,-64,-64,2.019,0.155,3.584,0.0
1,2019530,-64,64,96,2.019,0.155,3.584,0.0
2,2019542,256,32,-224,2.019,0.155,3.584,0.0
3,2019555,-64,0,320,2.019,0.155,3.584,0.0
4,2019567,64,128,0,2.019,0.155,3.584,0.0
5,2019579,-96,-64,-64,2.019,0.155,3.584,0.0
6,2019592,32,-32,-224,2.019,0.155,3.584,0.0
7,2019604,-288,32,160,2.019,0.155,3.584,0.0
8,2019616,160,0,-192,2.019,0.155,3.584,0.0
9,2019628,64,-64,352,2.019,0.155,3.584,0.0
10,2019640,192,64,32,2.019,0.155,3.584,0.0
11,2019652,-320,-96,-288,2.019,0.155,3.584,0.0
12,2019664,96,96,224,2.019,0.155,3.584,0.0
13,2019676,-64,0,-256,2.019,0.155,3.584,0.0
14,2019688,32,32,480,2.019,0.155,3.584,0.0
15,2019700,-128,0,0,2.019,0.155,3.584,0.0
16,2019712,480,-32,64,2.019,0.155,3.584,0.0
17,2019724,-128,64,0,2.019,0.155,3.584,0.0
18,2019736,-32,0,352,2.019,0.155,3.584,0.0
19,2019748,96,-160,32,2.019,0.155,3.584,0.0
20,2019761,-32,0,192,2.019,0.155,3.584,0.0
21,2019773,-64,0,32,2.019,0.155,3.584,0.0
22,2019785,-64,-64,-192,2.019,0.155,3.584,0.0
23,2019797,64,32,-480,2.019,0.155,3.584,0.0
24,2019809,-128,32,0,2.019,0.155,3.584,0.0
25,2019821,32,0,288,2.019,0.155,3.584,0.0
26,2019835,96,96,128,2.019,0.155,3.584,0.0
27,2019847,-32,-96,-32,2.019,0.155,3.584,0.0
28,2019859,-32,128,192,2.019,0.155,3.584,0.0
29,2019871,128,-96,32,2.019,0.155,3.584,0.0
30,2019883,96,-32,-64,2.019,0.155,3.584,0.0
31,2019895,-128,64,64,2.019,0.155,3.584,0.0
32,2019907,32,64,0,2.019,0.155,3.584,0.0
33,2019919,64,-96,-256,2.019,0.155,3.584,0.0
34,2019933,-192,-64,0,2.019,0.155,3.584,0.0
35,2019945,-64,32,0,2.019,0.155,3.584,0.0
