,Unnamed: 0,Time,X,Y,Z,X_f,Y_f,Z_f,fAmag,Amag,fAmag_norm,Amag_norm,Q3 threshold,Std threshold,HO threshold
0,0,2918276,0,-32,0,1.068721,-0.504631,-0.231132,1.2042587028649616,32.0,0.008099466905666205,0.0,Normal data,Normal data,Normal data
1,1,2918374,0,64,64,1.067315,-0.442127,-0.089711,1.1587431367110659,90.50966799187809,0.007270164580841756,0.0031547269192464785,Normal data,Normal data,Normal data
2,2,2918471,64,-32,32,1.150048,-0.472716,-0.019123,1.2435580035080793,78.38367176906169,0.008815507683388641,0.002500916907675225,Normal data,Normal data,Normal data
3,3,2918569,-32,160,-96,1.10647,-0.317224,-0.229926,1.1737857098090776,189.31455305918772,0.0075442431411159114,0.008482093171233492,Normal data,Normal data,Normal data
4,4,2918666,-32,-32,0,1.062978,-0.347992,-0.229421,1.1417769728756137,45.254833995939045,0.006961037829248254,0.0007146747375653677,Normal data,Normal data,Normal data
5,5,2918764,32,32,0,1.103594,-0.316589,-0.228919,1.1707058641341128,45.254833995939045,0.007488127763583027,0.0007146747375653677,Normal data,Normal data,Normal data
6,6,2918861,64,-64,-32,1.18611,-0.378393,-0.298374,1.280259832387551,96.0,0.009484222028545692,0.0034507548882314856,Normal data,Normal data,Normal data
7,7,2918959,-96,0,-32,1.058615,-0.378025,-0.36757,1.1826564690348589,101.19288512538814,0.007705870071648306,0.003730745102769888,Normal data,Normal data,Normal data
8,8,2919056,0,96,0,1.057225,-0.284554,-0.366769,1.1546493748762003,96.0,0.0071955754568604645,0.0034507548882314856,Normal data,Normal data,Normal data
9,9,2919154,-32,-64,64,1.013887,-0.346407,-0.226795,1.0951715073188308,96.0,0.00611187732874863,0.0034507548882314856,Normal data,Normal data,Normal data
10,10,2919251,32,64,-32,1.054484,-0.283922,-0.295828,1.1313984328803006,78.38367176906169,0.006771938844577928,0.002500916907675225,Normal data,Normal data,Normal data
11,11,2919349,32,32,0,1.094999,-0.252563,-0.295187,1.1618718707064908,45.254833995939045,0.007327170712928308,0.0007146747375653677,Normal data,Normal data,Normal data
12,12,2919446,704,1120,-384,2.014637,0.83526,-1.125783,2.454344896801996,1377.4875680019766,0.03087627656585313,0.07254605941152366,Normal data,Normal data,Normal data
13,13,2919544,-224,-160,64,1.715173,0.67574,-0.984034,2.0896808083257596,282.6163477224911,0.024232027094566542,0.013512743546470439,Normal data,Normal data,Normal data
14,14,2919641,-320,-192,96,1.287552,0.484215,-0.773129,1.577967924125836,385.33102652135346,0.014908520427094306,0.019050918233318895,Normal data,Normal data,Normal data
15,15,2919739,-32,96,64,1.243081,0.579431,-0.632305,1.5102318594662876,119.73303637676612,0.013674356367557178,0.00473039381463307,Normal data,Normal data,Normal data
16,16,2919836,32,-192,96,1.284143,0.387282,-0.4224,1.4062120579674318,217.03455946000858,0.01177909567983759,0.009976701727318502,Normal data,Normal data,Normal data
17,17,2919934,160,-160,32,1.495887,0.226797,-0.351989,1.5533869614809441,228.5257097133712,0.01446065058408485,0.010596282085259028,Normal data,Normal data,Normal data
18,18,2920031,-96,-32,96,1.365579,0.194479,-0.143062,1.3867569442862004,139.48476619330157,0.01142461978578814,0.005795368474249277,Normal data,Normal data,Normal data
19,19,2920129,96,-32,64,1.492139,0.162206,-0.00401,1.500934929254763,119.73303637676612,0.013504964520115813,0.00473039381463307,Normal data,Normal data,Normal data
20,20,2920226,32,0,64,1.532962,0.162043,0.134617,1.5473694335813926,71.55417527999327,0.014351010074288248,0.002132683807771903,Normal data,Normal data,Normal data
21,21,2920324,32,-32,64,1.5737,0.129846,0.272822,1.6024429841339132,78.38367176906169,0.015354460703796303,0.002500916907675225,Normal data,Normal data,Normal data
22,22,2920421,-64,-96,0,1.486084,0.033646,0.272232,1.5111876025814928,115.37764081484765,0.013691770189999695,0.004495559400172572,Normal data,Normal data,Normal data
23,23,2920519,-32,32,0,1.441342,0.065665,0.271645,1.4681858394678786,45.254833995939045,0.01290826983759074,0.0007146747375653677,Normal data,Normal data,Normal data
24,24,2920616,64,128,-32,1.524872,0.193764,0.202171,1.5503716384535031,146.64242223858687,0.014405710821536395,0.006181295295914088,Normal data,Normal data,Normal data
25,25,2920714,-96,-128,32,1.394665,0.065206,0.270522,1.4221548569494815,163.1686244349691,0.012069576527979058,0.007072355811743274,Normal data,Normal data,Normal data
26,26,2920811,-64,0,32,1.307302,0.06514,0.338623,1.3520160039485478,71.55417527999327,0.010791633205083225,0.002132683807771903,Normal data,Normal data,Normal data
27,27,2920909,-224,-288,32,1.006316,-0.223905,0.406475,1.1081639168038273,366.2567405523071,0.006348601515690476,0.018022470021643706,Normal data,Normal data,Normal data
28,28,2921006,-192,32,160,0.747665,-0.191418,0.747978,1.074762714013191,251.96825196837796,0.005740025209453831,0.01186025813649399,Normal data,Normal data,Normal data
29,29,2921104,-224,0,160,0.445721,-0.191225,1.089106,1.1922189772445326,275.27440854536405,0.007880100801034863,0.013116880538586539,Normal data,Normal data,Normal data
30,30,2921201,160,128,-160,0.660753,-0.062163,0.743686,0.9967585626288845,259.96922894835075,0.0043187746449713585,0.012291655174373188,Normal data,Normal data,Normal data
31,31,2921299,-32,-160,-160,0.616655,-0.223437,0.398639,0.7675288491744138,228.5257097133712,0.0001421654022372911,0.010596282085259028,Normal data,Normal data,Normal data
32,32,2921396,-128,96,96,0.443121,-0.126198,0.604071,0.7597262196910147,186.59046063504962,0.0,0.00833521543297429,Normal data,Normal data,Normal data
33,33,2921494,-32,-64,160,0.399294,-0.190805,0.946505,1.0448511671458285,175.27121840165316,0.005195031101892323,0.0077249040194122725,Normal data,Normal data,Normal data
34,34,2921591,160,-32,-96,0.614744,-0.222987,0.738018,0.9860547429169437,189.31455305918772,0.004123749001621112,0.008482093171233492,Normal data,Normal data,Normal data
35,35,2921689,32,0,128,0.65719,-0.222762,1.011641,1.2267596005839938,131.93938001976514,0.008509437567701646,0.005388536002031698,Normal data,Normal data,Normal data
36,36,2921786,-32,0,96,0.613056,-0.222537,1.215952,1.3798186988909085,101.19288512538814,0.011298203627037895,0.003730745102769888,Normal data,Normal data,Normal data
37,37,2921884,-64,-32,0,0.525797,-0.254611,1.213338,1.3466545023776515,71.55417527999327,0.010693945620526757,0.002132683807771903,Normal data,Normal data,Normal data
38,38,2921981,224,192,32,0.827577,-0.060635,1.2794,1.5249343114226266,296.7557918558625,0.013942237855547152,0.014275114733347116,Normal data,Normal data,Normal data
39,39,2922079,-128,-192,0,0.653067,-0.25484,1.276659,1.456467690808828,230.7552816296953,0.01269476292673015,0.010716496244460886,Normal data,Normal data,Normal data
40,40,2922176,-64,-64,0,0.565381,-0.31952,1.273929,1.4299104176842687,90.50966799187809,0.012210884328609936,0.0031547269192464785,Normal data,Normal data,Normal data
41,41,2922274,64,-32,-32,0.651409,-0.351673,1.0,1.2441895290549587,78.38367176906169,0.00882701419969654,0.002500916907675225,Normal data,Normal data,Normal data
