,Timestamp,Data,AX,AY,AZ,fAX,fAY,fAZ
0,18:16:32:074,0001713110 [app] INFO: ACCEL: ,768.0,-608.0,352.0,6.215045,4.296308,-7.954152
1,18:16:32:294,0001713380 [app] INFO: ACCEL: ,704.0,-256.0,320.0,14.198598,2.22199,-5.066761
2,18:16:32:514,0001713605 [app] INFO: ACCEL: ,-512.0,-704.0,384.0,8.1642,-3.390279,-1.64914
3,18:16:32:606,0001713830 [app] INFO: ACCEL: ,768.0,192.0,256.0,16.868759,-1.828191,0.611687
4,18:16:32:878,0001713920 [app] INFO: ACCEL: ,-320.0,-672.0,-448.0,12.996037,-7.164129,-3.310493
5,18:16:33:057,0001714280 [app] INFO: ACCEL: ,768.0,-416.0,-736.0,21.634241,-10.436525,-9.717303
6,18:16:33:146,0001714370 [app] INFO: ACCEL: ,-672.0,224.0,-320.0,13.670837,-8.559854,-12.446036
7,18:16:33:234,0001714460 [app] INFO: ACCEL: ,-352.0,-256.0,800.0,9.463416,-10.534029,-5.319825
8,18:16:33:325,0001714550 [app] INFO: ACCEL: ,1312.0,192.0,-768.0,24.387087,-8.923052,-12.058162
9,18:16:33:462,0001714640 [app] INFO: ACCEL: ,480.0,768.0,-928.0,29.680975,-2.767453,-20.200974
10,18:16:33:549,0001714775 [app] INFO: ACCEL: ,256.0,-32.0,-320.0,32.303844,-3.000785,-22.89069
11,18:16:33:642,0001714865 [app] INFO: ACCEL: ,416.0,-384.0,320.0,36.719322,-6.019565,-19.823603
12,18:16:33:733,0001714955 [app] INFO: ACCEL: ,160.0,96.0,-448.0,38.132504,-5.211522,-23.645399
13,18:16:33:820,0001715045 [app] INFO: ACCEL: ,160.0,704.0,-896.0,39.517021,0.372903,-31.428434
14,18:16:33:912,0001715135 [app] INFO: ACCEL: ,224.0,-416.0,288.0,41.594353,-2.925833,-28.554897
15,18:16:34:000,0001715225 [app] INFO: ACCEL: ,864.0,256.0,-320.0,50.785179,-0.87379,-31.169777
16,18:16:34:092,0001715315 [app] INFO: ACCEL: ,448.0,416.0,-32.0,55.246605,2.420887,-31.177202
17,18:16:34:180,0001715405 [app] INFO: ACCEL: ,288.0,-384.0,-704.0,57.852108,-0.634228,-37.141483
18,18:16:34:272,0001715495 [app] INFO: ACCEL: ,-448.0,256.0,1056.0,52.226376,1.394289,-27.408304
19,18:16:34:360,0001715585 [app] INFO: ACCEL: ,0.0,-224.0,-288.0,51.646191,-0.382327,-29.757925
