,Timestamp,Data,X,Y,Z
0,18:54:49:306,0000272396 [app] INFO: GYRO: ,-7.311,-2.552,52.319
1,18:54:49:395,0000272532 [app] INFO: GYRO: ,-7.311,-2.552,52.319
2,18:54:49:577,0000272622 [app] INFO: GYRO: ,-7.311,-2.552,52.319
3,18:54:49:666,0000272802 [app] INFO: GYRO: ,-7.311,-2.552,52.319
4,18:54:49:803,0000272892 [app] INFO: GYRO: ,-7.311,-2.552,52.319
5,18:54:49:937,0000273028 [app] INFO: GYRO: ,-7.311,-2.552,52.319
6,18:54:50:025,0000273162 [app] INFO: GYRO: ,-7.311,-2.552,52.319
7,18:54:50:162,0000273252 [app] INFO: GYRO: ,-7.311,-2.552,52.319
8,18:54:50:252,0000273387 [app] INFO: GYRO: ,-7.311,-2.552,52.319
9,18:54:50:355,0000273477 [app] INFO: GYRO: ,-7.311,-2.552,52.319
10,18:54:50:432,0000273567 [app] INFO: GYRO: ,-7.311,-2.552,52.319
11,18:54:50:522,0000273657 [app] INFO: GYRO: ,-7.311,-2.552,52.319
12,18:54:50:609,0000273747 [app] INFO: GYRO: ,-7.311,-2.552,52.319
13,18:54:50:746,0000273837 [app] INFO: GYRO: ,-7.311,-2.552,52.319
14,18:54:50:879,0000273972 [app] INFO: GYRO: ,-7.311,-2.552,52.319
15,18:54:51:062,0000274107 [app] INFO: GYRO: ,-7.311,-2.552,52.319
16,18:54:51:286,0000274287 [app] INFO: GYRO: ,-7.311,-2.552,52.319
17,18:54:51:378,0000274512 [app] INFO: GYRO: ,-7.311,-2.552,52.319
18,18:54:51:464,0000274602 [app] INFO: GYRO: ,-7.311,-2.552,52.319
19,18:54:51:558,0000274692 [app] INFO: GYRO: ,-7.311,-2.552,52.319
20,18:54:51:644,0000274782 [app] INFO: GYRO: ,-7.311,-2.552,52.319
21,18:54:51:739,0000274872 [app] INFO: GYRO: ,-7.311,-2.552,52.319
22,18:54:51:827,0000274962 [app] INFO: GYRO: ,-7.311,-2.552,52.319
23,18:54:51:917,0000275052 [app] INFO: GYRO: ,-7.311,-2.552,52.319
24,18:54:52:006,0000275142 [app] INFO: GYRO: ,-7.311,-2.552,52.319
25,18:54:52:186,0000275232 [app] INFO: GYRO: ,-7.311,-2.552,52.319
26,18:54:52:276,0000275412 [app] INFO: GYRO: ,-7.311,-2.552,52.319
27,18:54:52:367,0000275502 [app] INFO: GYRO: ,-7.311,-2.552,52.319
28,18:54:52:454,0000275592 [app] INFO: GYRO: ,-7.311,-2.552,52.319
29,18:54:52:549,0000275682 [app] INFO: GYRO: ,-7.311,-2.552,52.319
30,18:54:52:635,0000275772 [app] INFO: GYRO: ,-7.311,-2.552,52.319
31,18:54:52:726,0000275862 [app] INFO: GYRO: ,-7.311,-2.552,52.319
32,18:54:52:815,0000275952 [app] INFO: GYRO: ,-7.311,-2.552,52.319
33,18:54:52:908,0000276045 [app] INFO: GYRO: ,-7.311,-2.552,52.319
34,18:54:53:089,0000276132 [app] INFO: GYRO: ,-7.311,-2.552,52.319
35,18:54:53:179,0000276312 [app] INFO: GYRO: ,-7.311,-2.552,52.319
36,18:54:53:271,0000276402 [app] INFO: GYRO: ,-7.311,-2.552,52.319
37,18:54:53:357,0000276492 [app] INFO: GYRO: ,-7.311,-2.552,52.319
38,18:54:53:446,0000276582 [app] INFO: GYRO: ,-7.311,-2.552,52.319
39,18:54:53:540,0000276672 [app] INFO: GYRO: ,-7.311,-2.552,52.319
40,18:54:53:625,0000276762 [app] INFO: GYRO: ,-7.311,-2.552,52.319
41,18:54:53:714,0000276852 [app] INFO: GYRO: ,-7.311,-2.552,52.319
42,18:54:53:805,0000276942 [app] INFO: GYRO: ,-7.311,-2.552,52.319
43,18:54:53:894,0000277032 [app] INFO: GYRO: ,-7.311,-2.552,52.319
44,18:54:53:985,0000277122 [app] INFO: GYRO: ,-7.311,-2.552,52.319
45,18:54:54:077,0000277212 [app] INFO: GYRO: ,-7.311,-2.552,52.319
46,18:54:54:164,0000277302 [app] INFO: GYRO: ,-7.311,-2.552,52.319
47,18:54:54:254,0000277392 [app] INFO: GYRO: ,-7.311,-2.552,52.319
48,18:54:54:435,0000277572 [app] INFO: GYRO: ,-7.311,-2.552,52.319
49,18:54:54:525,0000277662 [app] INFO: GYRO: ,-7.311,-2.552,52.319
50,18:54:54:669,0000277752 [app] INFO: GYRO: ,-7.311,-2.552,52.319
51,18:54:54:752,0000277887 [app] INFO: GYRO: ,-7.311,-2.552,52.319
52,18:54:54:843,0000277977 [app] INFO: GYRO: ,-3.248,-0.1,5.458
53,18:54:54:977,0000278067 [app] INFO: GYRO: ,-3.248,-0.1,5.458
54,18:54:55:111,0000278202 [app] INFO: GYRO: ,-3.248,-0.1,5.458
55,18:54:55:202,0000278337 [app] INFO: GYRO: ,-3.248,-0.1,5.458
56,18:54:55:291,0000278427 [app] INFO: GYRO: ,-3.248,-0.1,5.458
57,18:54:55:382,0000278517 [app] INFO: GYRO: ,-3.248,-0.1,5.458
58,18:54:55:470,0000278607 [app] INFO: GYRO: ,-3.248,-0.1,5.458
59,18:54:55:562,0000278697 [app] INFO: GYRO: ,-3.248,-0.1,5.458
60,18:54:55:655,0000278787 [app] INFO: GYRO: ,-3.248,-0.1,5.458
61,18:54:55:739,0000278877 [app] INFO: GYRO: ,-3.248,-0.1,5.458
62,18:54:55:832,0000278967 [app] INFO: GYRO: ,-3.248,-0.1,5.458
63,18:54:55:920,0000279057 [app] INFO: GYRO: ,-3.248,-0.1,5.458
64,18:54:56:057,0000279147 [app] INFO: GYRO: ,-3.248,-0.1,5.458
65,18:54:56:192,0000279282 [app] INFO: GYRO: ,-3.248,-0.1,5.458
66,18:54:56:325,0000279417 [app] INFO: GYRO: ,-3.248,-0.1,5.458
67,18:54:56:550,0000279687 [app] INFO: GYRO: ,-3.248,-0.1,5.458
68,18:54:56:689,0000279777 [app] INFO: GYRO: ,-3.248,-0.1,5.458
69,18:54:56:776,0000279912 [app] INFO: GYRO: ,-3.248,-0.1,5.458
70,18:54:56:867,0000280002 [app] INFO: GYRO: ,-3.248,-0.1,5.458
71,18:54:57:046,0000280092 [app] INFO: GYRO: ,-3.248,-0.1,5.458
72,18:54:57:229,0000280272 [app] INFO: GYRO: ,-3.248,-0.1,5.458
73,18:54:57:315,0000280452 [app] INFO: GYRO: ,-3.248,-0.1,5.458
74,18:54:57:407,0000280542 [app] INFO: GYRO: ,-3.248,-0.1,5.458
75,18:54:57:497,0000280632 [app] INFO: GYRO: ,-3.248,-0.1,5.458
76,18:54:57:723,0000280722 [app] INFO: GYRO: ,-3.248,-0.1,5.458
77,18:54:57:990,0000280947 [app] INFO: GYRO: ,-3.248,-0.1,5.458
78,18:54:58:082,0000281217 [app] INFO: GYRO: ,-3.248,-0.1,5.458
79,18:54:58:265,0000281307 [app] INFO: GYRO: ,-3.248,-0.1,5.458
80,18:54:58:398,0000281487 [app] INFO: GYRO: ,-3.248,-0.1,5.458
81,18:54:58:487,0000281622 [app] INFO: GYRO: ,-3.248,-0.1,5.458
82,18:54:58:576,0000281712 [app] INFO: GYRO: ,-3.248,-0.1,5.458
83,18:54:58:712,0000281847 [app] INFO: GYRO: ,-3.248,-0.1,5.458
84,18:54:58:893,0000281937 [app] INFO: GYRO: ,-3.248,-0.1,5.458
85,18:54:58:980,0000282117 [app] INFO: GYRO: ,-3.248,-0.1,5.458
86,18:54:59:072,0000282207 [app] INFO: GYRO: ,-3.248,-0.1,5.458
87,18:54:59:162,0000282297 [app] INFO: GYRO: ,-3.248,-0.1,5.458
88,18:54:59:302,0000282387 [app] INFO: GYRO: ,-3.248,-0.1,5.458
89,18:54:59:384,0000282521 [app] INFO: GYRO: ,-3.248,-0.1,5.458
90,18:54:59:478,0000282612 [app] INFO: GYRO: ,-3.248,-0.1,5.458
91,18:54:59:565,0000282702 [app] INFO: GYRO: ,-3.248,-0.1,5.458
92,18:54:59:656,0000282792 [app] INFO: GYRO: ,-3.248,-0.1,5.458
93,18:54:59:747,0000282886 [app] INFO: GYRO: ,11.1,2.408,-54.302
94,18:54:59:973,0000282972 [app] INFO: GYRO: ,11.1,2.408,-54.302
95,18:55:00:060,0000283197 [app] INFO: GYRO: ,11.1,2.408,-54.302
96,18:55:00:290,0000283286 [app] INFO: GYRO: ,11.1,2.408,-54.302
97,18:55:00:331,0000283467 [app] INFO: GYRO: ,11.1,2.408,-54.302
98,18:55:00:513,0000283556 [app] INFO: GYRO: ,11.1,2.408,-54.302
99,18:55:00:736,0000283782 [app] INFO: GYRO: ,11.1,2.408,-54.302
100,18:55:00:869,0000283961 [app] INFO: GYRO: ,11.1,2.408,-54.302
101,18:55:00:961,0000284097 [app] INFO: GYRO: ,11.1,2.408,-54.302
102,18:55:01:097,0000284187 [app] INFO: GYRO: ,11.1,2.408,-54.302
103,18:55:01:189,0000284321 [app] INFO: GYRO: ,11.1,2.408,-54.302
104,18:55:01:278,0000284411 [app] INFO: GYRO: ,11.1,2.408,-54.302
105,18:55:01:370,0000284501 [app] INFO: GYRO: ,11.1,2.408,-54.302
106,18:55:01:502,0000284591 [app] INFO: GYRO: ,11.1,2.408,-54.302
107,18:55:01:593,0000284727 [app] INFO: GYRO: ,11.1,2.408,-54.302
108,18:55:01:681,0000284817 [app] INFO: GYRO: ,11.1,2.408,-54.302
109,18:55:01:771,0000284907 [app] INFO: GYRO: ,11.1,2.408,-54.302
110,18:55:01:863,0000284997 [app] INFO: GYRO: ,11.1,2.408,-54.302
111,18:55:01:950,0000285086 [app] INFO: GYRO: ,11.1,2.408,-54.302
