,Timestamp,Data,X,Y,Z
0,18:55:43:665,0000326756 [app] INFO: GYRO: ,-4.695,-0.52,19.148
1,18:55:43:800,0000326898 [app] INFO: GYRO: ,-4.695,-0.52,19.148
2,18:55:43:891,0000327026 [app] INFO: GYRO: ,-4.695,-0.52,19.148
3,18:55:44:027,0000327116 [app] INFO: GYRO: ,-4.695,-0.52,19.148
4,18:55:44:117,0000327251 [app] INFO: GYRO: ,-4.695,-0.52,19.148
5,18:55:44:212,0000327341 [app] INFO: GYRO: ,-4.695,-0.52,19.148
6,18:55:44:297,0000327431 [app] INFO: GYRO: ,-4.695,-0.52,19.148
7,18:55:44:385,0000327521 [app] INFO: GYRO: ,-4.695,-0.52,19.148
8,18:55:44:476,0000327611 [app] INFO: GYRO: ,-4.695,-0.52,19.148
9,18:55:44:569,0000327701 [app] INFO: GYRO: ,-4.695,-0.52,19.148
10,18:55:44:658,0000327791 [app] INFO: GYRO: ,-4.695,-0.52,19.148
11,18:55:44:790,0000327881 [app] INFO: GYRO: ,-4.695,-0.52,19.148
12,18:55:44:928,0000328016 [app] INFO: GYRO: ,0.351,0.059,-0.273
13,18:55:45:015,0000328151 [app] INFO: GYRO: ,0.351,0.059,-0.273
14,18:55:45:106,0000328241 [app] INFO: GYRO: ,0.351,0.059,-0.273
15,18:55:45:195,0000328331 [app] INFO: GYRO: ,0.351,0.059,-0.273
16,18:55:45:332,0000328421 [app] INFO: GYRO: ,0.351,0.059,-0.273
17,18:55:45:419,0000328556 [app] INFO: GYRO: ,0.351,0.059,-0.273
18,18:55:45:514,0000328646 [app] INFO: GYRO: ,0.351,0.059,-0.273
19,18:55:45:601,0000328736 [app] INFO: GYRO: ,0.351,0.059,-0.273
20,18:55:45:691,0000328826 [app] INFO: GYRO: ,0.351,0.059,-0.273
21,18:55:45:780,0000328916 [app] INFO: GYRO: ,0.351,0.059,-0.273
22,18:55:45:869,0000329007 [app] INFO: GYRO: ,0.351,0.059,-0.273
23,18:55:45:959,0000329096 [app] INFO: GYRO: ,0.351,0.059,-0.273
24,18:55:46:052,0000329186 [app] INFO: GYRO: ,0.351,0.059,-0.273
25,18:55:46:149,0000329276 [app] INFO: GYRO: ,0.351,0.059,-0.273
26,18:55:46:230,0000329366 [app] INFO: GYRO: ,0.351,0.059,-0.273
27,18:55:46:322,0000329456 [app] INFO: GYRO: ,0.351,0.059,-0.273
28,18:55:46:413,0000329546 [app] INFO: GYRO: ,0.351,0.059,-0.273
29,18:55:46:503,0000329636 [app] INFO: GYRO: ,0.351,0.059,-0.273
30,18:55:46:636,0000329726 [app] INFO: GYRO: ,0.351,0.059,-0.273
31,18:55:46:771,0000329861 [app] INFO: GYRO: ,0.351,0.059,-0.273
32,18:55:46:860,0000329996 [app] INFO: GYRO: ,0.351,0.059,-0.273
33,18:55:46:951,0000330086 [app] INFO: GYRO: ,0.351,0.059,-0.273
34,18:55:47:039,0000330176 [app] INFO: GYRO: ,0.351,0.059,-0.273
35,18:55:47:132,0000330266 [app] INFO: GYRO: ,0.351,0.059,-0.273
36,18:55:47:221,0000330356 [app] INFO: GYRO: ,0.351,0.059,-0.273
37,18:55:47:312,0000330446 [app] INFO: GYRO: ,0.351,0.059,-0.273
38,18:55:47:624,0000330761 [app] INFO: GYRO: ,0.351,0.059,-0.273
39,18:55:47:717,0000330851 [app] INFO: GYRO: ,0.351,0.059,-0.273
40,18:55:47:805,0000330941 [app] INFO: GYRO: ,0.351,0.059,-0.273
41,18:55:47:897,0000331031 [app] INFO: GYRO: ,0.351,0.059,-0.273
42,18:55:47:986,0000331121 [app] INFO: GYRO: ,0.351,0.059,-0.273
43,18:55:48:075,0000331211 [app] INFO: GYRO: ,0.351,0.059,-0.273
44,18:55:48:214,0000331301 [app] INFO: GYRO: ,0.351,0.059,-0.273
45,18:55:48:302,0000331436 [app] INFO: GYRO: ,0.351,0.059,-0.273
46,18:55:48:393,0000331526 [app] INFO: GYRO: ,0.351,0.059,-0.273
47,18:55:48:480,0000331616 [app] INFO: GYRO: ,0.351,0.059,-0.273
48,18:55:48:575,0000331706 [app] INFO: GYRO: ,0.351,0.059,-0.273
49,18:55:48:660,0000331796 [app] INFO: GYRO: ,0.351,0.059,-0.273
50,18:55:48:752,0000331886 [app] INFO: GYRO: ,0.351,0.059,-0.273
51,18:55:48:844,0000331976 [app] INFO: GYRO: ,0.351,0.059,-0.273
52,18:55:48:932,0000332066 [app] INFO: GYRO: ,0.351,0.059,-0.273
53,18:55:49:020,0000332156 [app] INFO: GYRO: ,0.351,0.059,-0.273
54,18:55:49:157,0000332291 [app] INFO: GYRO: ,0.351,0.059,-0.273
55,18:55:49:244,0000332381 [app] INFO: GYRO: ,0.351,0.059,-0.273
56,18:55:49:335,0000332471 [app] INFO: GYRO: ,0.351,0.059,-0.273
57,18:55:49:424,0000332561 [app] INFO: GYRO: ,0.351,0.059,-0.273
58,18:55:49:515,0000332651 [app] INFO: GYRO: ,0.351,0.059,-0.273
59,18:55:49:604,0000332741 [app] INFO: GYRO: ,0.351,0.059,-0.273
60,18:55:49:695,0000332831 [app] INFO: GYRO: ,0.351,0.059,-0.273
61,18:55:49:786,0000332957 [app] INFO: GYRO: ,0.351,0.059,-0.273
62,18:55:49:877,0000333013 [app] INFO: GYRO: ,0.351,0.059,-0.273
63,18:55:49:966,0000333101 [app] INFO: GYRO: ,0.351,0.059,-0.273
64,18:55:50:055,0000333191 [app] INFO: GYRO: ,0.351,0.059,-0.273
65,18:55:50:147,0000333281 [app] INFO: GYRO: ,0.351,0.059,-0.273
66,18:55:50:236,0000333371 [app] INFO: GYRO: ,0.351,0.059,-0.273
67,18:55:50:325,0000333461 [app] INFO: GYRO: ,0.351,0.059,-0.273
68,18:55:50:417,0000333551 [app] INFO: GYRO: ,0.351,0.059,-0.273
