,time_seconds,time_seconds_delta,Timestamp,AX,AY,AZ,fAX,fAY,fAZ,Amag,fAmag,fAmag_norm,Std threshold,Q3 threshold,HO threshold
0,0.0,0,1900-01-01 18:15:17.321,-1984,-1184,-128,10.911464,20.143747,38.438805,2313.9783922932384,44.74787502945062,0.0,Normal data,Normal data,Normal data
1,4.321,4.321,1900-01-01 18:15:21.642,1120,1504,-608,5.466331,39.520996,30.415575,1971.3142824014642,50.16868646889414,0.003467911040902169,Normal data,Normal data,Normal data
2,5.087,0.766,1900-01-01 18:15:22.408,-2144,-2048,960,-33.58997,1.751053,42.425961,3116.5108695462623,54.14161465991968,0.006009552950472694,Normal data,Normal data,Normal data
3,5.399,0.3120000000000003,1900-01-01 18:15:22.720,-3552,-1696,384,-99.028473,-29.657183,46.862812,3954.8168099167374,113.50026483120894,0.043983668191639486,Normal data,Normal data,Normal data
4,5.715,0.31599999999999984,1900-01-01 18:15:23.036,-2880,-2720,2880,-153.310471,-80.152374,83.436729,4897.672916804469,192.06819445784657,0.09424673187809963,Normal data,Normal data,Normal data
5,5.809,0.0940000000000003,1900-01-01 18:15:23.130,2432,-2112,-4192,-101.116325,-119.560745,25.901129,5286.589827100264,158.7140554895353,0.0729087480577537,Normal data,Normal data,Normal data
6,6.162,0.35299999999999976,1900-01-01 18:15:23.483,6112,768,-3584,28.061602,-102.001076,-26.072914,7126.810226181135,108.95627497494384,0.04107669517324082,Normal data,Normal data,Normal data
7,6.3,0.1379999999999999,1900-01-01 18:15:23.621,896,1760,-160,47.886032,-65.248985,-28.108932,1981.4176742928282,85.67738419452284,0.026184252730036214,Normal data,Normal data,Normal data
8,6.405,0.10500000000000043,1900-01-01 18:15:23.726,320,-6240,4800,54.065632,-189.128448,44.381699,7879.086241436884,201.6491944258016,0.10037608279593296,Normal data,Normal data,Normal data
9,6.479,0.07399999999999984,1900-01-01 18:15:23.800,4928,0,8128,162.868805,-184.959488,175.315506,9505.238976480287,302.4430301517729,0.1648579522860952,Normal data,Abnormal data,Normal data
10,6.572,0.09299999999999997,1900-01-01 18:15:23.893,3136,4704,-8288,233.967285,-79.126205,19.009953,10032.599663098294,247.71561331703631,0.12984662322560284,Normal data,Normal data,Normal data
11,6.659,0.08699999999999974,1900-01-01 18:15:23.980,-1248,1024,5248,197.34845,-53.519943,129.541565,5490.681560607936,242.05745615199498,0.12622687258070292,Normal data,Normal data,Normal data
12,6.749,0.08999999999999986,1900-01-01 18:15:24.070,6912,-288,160,363.94397,-58.953964,130.236511,6919.847397161298,391.01449073931684,0.2215206769559477,Abnormal data,Abnormal data,Normal data
13,6.842,0.09299999999999997,1900-01-01 18:15:24.163,11264,6656,1088,662.303894,93.8358,151.614227,13128.738553265504,685.8851793106561,0.41016131276451356,Abnormal data,Abnormal data,Abnormal data
14,6.931,0.08900000000000041,1900-01-01 18:15:24.252,-2016,-1312,-1216,575.891479,58.464851,121.195686,2695.2283762234324,591.4030171484334,0.34971727463646585,Abnormal data,Abnormal data,Abnormal data
15,7.02,0.08899999999999952,1900-01-01 18:15:24.341,4224,4832,-3488,695.821716,178.830734,40.566463,7304.556386256458,719.5789948299588,0.43171660133243794,Abnormal data,Abnormal data,Abnormal data
16,7.123,0.10300000000000065,1900-01-01 18:15:24.444,4256,4544,-11520,817.12207,296.166809,-229.860901,13094.72687764048,899.0212955446935,0.5465130562184242,Abnormal data,Abnormal data,Abnormal data
17,7.199,0.07599999999999962,1900-01-01 18:15:24.520,-3584,1120,1184,662.148499,319.561066,-190.280563,3937.1705576466966,759.4515141117347,0.4572246551340751,Abnormal data,Abnormal data,Abnormal data
18,7.288,0.08900000000000041,1900-01-01 18:15:24.609,2592,-1472,-1056,733.356384,269.29895,-214.503967,3162.338375316595,810.151505758889,0.48965947836505314,Abnormal data,Abnormal data,Abnormal data
19,7.379,0.0909999999999993,1900-01-01 18:15:24.700,6816,1792,-4096,957.853882,312.299316,-321.933258,8151.462200120908,1057.6653273332886,0.6480040222036534,Abnormal data,Abnormal data,Abnormal data
20,7.561,0.18200000000000038,1900-01-01 18:15:24.882,4448,32,-2752,1096.594727,304.373383,-392.312988,5230.605318698783,1203.774327736124,0.741475824595693,Abnormal data,Abnormal data,Abnormal data
21,7.65,0.08900000000000041,1900-01-01 18:15:24.971,-4192,-2496,480,880.861206,226.945831,-366.60199,4902.374934661771,980.7231482513376,0.598781016509738,Abnormal data,Abnormal data,Abnormal data
22,7.742,0.09199999999999964,1900-01-01 18:15:25.063,160,-3200,3680,849.748779,129.725937,-248.782745,4879.34421823261,894.8713093804348,0.5438581432041281,Abnormal data,Abnormal data,Abnormal data
23,7.876,0.13400000000000034,1900-01-01 18:15:25.197,1952,-704,1344,895.983643,105.196243,-200.184204,2472.297716699993,924.0815189126877,0.5625450887427399,Abnormal data,Abnormal data,Abnormal data
24,7.969,0.09299999999999997,1900-01-01 18:15:25.290,256,2560,-3712,869.675049,176.492569,-307.37439,4516.423363680602,939.1290291505445,0.5721715860808043,Abnormal data,Abnormal data,Abnormal data
25,8.211,0.242,1900-01-01 18:15:25.532,-2144,288,-320,749.217712,179.789688,-307.773773,2186.796744098546,829.6844021869448,0.5021554575999639,Abnormal data,Abnormal data,Abnormal data
26,8.28,0.06899999999999906,1900-01-01 18:15:25.601,-1056,-1152,4672,675.824036,141.458649,-155.040558,4926.441311941106,707.6625266588487,0.4240931574992036,Abnormal data,Abnormal data,Abnormal data
27,8.526,0.24600000000000044,1900-01-01 18:15:25.847,13056,-11072,-5760,1176.249878,-180.369629,-337.902832,18061.725277503254,1237.0429670929918,0.7627591108767812,Abnormal data,Abnormal data,Abnormal data
