timestamp (ms),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Speed(Km/h)
2019518,0,-64,-64,2.019,0.155,3.584,0
2019530,-64,64,96,2.019,0.155,3.584,0
2019542,256,32,-224,2.019,0.155,3.584,0
2019555,-64,0,320,2.019,0.155,3.584,0
2019567,64,128,0,2.019,0.155,3.584,0
2019579,-96,-64,-64,2.019,0.155,3.584,0
2019592,32,-32,-224,2.019,0.155,3.584,0
2019604,-288,32,160,2.019,0.155,3.584,0
2019616,160,0,-192,2.019,0.155,3.584,0
2019628,64,-64,352,2.019,0.155,3.584,0
2019640,192,64,32,2.019,0.155,3.584,0
2019652,-320,-96,-288,2.019,0.155,3.584,0
2019664,96,96,224,2.019,0.155,3.584,0
2019676,-64,0,-256,2.019,0.155,3.584,0
2019688,32,32,480,2.019,0.155,3.584,0
2019700,-128,0,0,2.019,0.155,3.584,0
2019712,480,-32,64,2.019,0.155,3.584,0
2019724,-128,64,0,2.019,0.155,3.584,0
2019736,-32,0,352,2.019,0.155,3.584,0
2019748,96,-160,32,2.019,0.155,3.584,0
2019761,-32,0,192,2.019,0.155,3.584,0
2019773,-64,0,32,2.019,0.155,3.584,0
2019785,-64,-64,-192,2.019,0.155,3.584,0
2019797,64,32,-480,2.019,0.155,3.584,0
2019809,-128,32,0,2.019,0.155,3.584,0
2019821,32,0,288,2.019,0.155,3.584,0
2019835,96,96,128,2.019,0.155,3.584,0
2019847,-32,-96,-32,2.019,0.155,3.584,0
2019859,-32,128,192,2.019,0.155,3.584,0
2019871,128,-96,32,2.019,0.155,3.584,0
2019883,96,-32,-64,2.019,0.155,3.584,0
2019895,-128,64,64,2.019,0.155,3.584,0
2019907,32,64,0,2.019,0.155,3.584,0
2019919,64,-96,-256,2.019,0.155,3.584,0
2019933,-192,-64,0,2.019,0.155,3.584,0
2019945,-64,32,0,2.019,0.155,3.584,0
2019958,0,-32,-64,2.019,0.155,3.584,0
2019970,0,96,-160,2.019,0.155,3.584,0
2019982,-160,-64,192,2.019,0.155,3.584,0
2019994,256,64,-224,2.019,0.155,3.584,0
2020006,-96,-96,96,2.019,0.155,3.584,0
2020032,-32,0,96,2.019,0.155,3.584,0
2020044,-32,64,384,2.019,0.155,3.584,0
2020056,-32,-96,-256,2.019,0.155,3.584,0
2020068,224,32,192,2.019,0.155,3.584,0
2020080,-32,32,64,2.019,0.155,3.584,0
2020090,0,gps:locked,soc:100.00%,volt:4.11 AM1805:02:01:58,wakeup:0s,ext_alive:172s,0
2020092,96,-96,32,2.019,0.155,3.584,0
2020104,-224,-32,96,2.019,0.155,3.584,0
2020116,256,-32,96,2.019,0.155,3.584,0
2020129,32,-64,-64,2.019,0.155,3.584,0
2020142,-160,32,0,2.019,0.155,3.584,0
2020154,-96,-64,-288,2.019,0.155,3.584,0
2020167,32,32,160,2.019,0.155,3.584,0
2020179,-224,-32,-352,2.019,0.155,3.584,0
2020191,160,0,-32,2.019,0.155,3.584,0
2020204,-96,-64,-64,2.019,0.155,3.584,0
2020216,256,0,-256,2.019,0.155,3.584,0
2020229,0,-64,-192,2.019,0.155,3.584,0
2020241,-160,64,352,2.019,0.155,3.584,0
2020255,-32,-64,-192,2.019,0.155,3.584,0
2020267,-128,32,96,2.019,0.155,3.584,0
2020279,192,64,224,2.019,0.155,3.584,0
2020292,192,32,96,2.019,0.155,3.584,0
2020304,-128,-32,-128,2.019,0.155,3.584,0
2020316,128,128,128,2.019,0.155,3.584,0
2020328,-224,-128,192,2.019,0.155,3.584,0
2020341,288,96,-320,2.019,0.155,3.584,0
2020353,-64,-64,448,2.019,0.155,3.584,0
2020365,-64,0,160,2.019,0.155,3.584,0
2020377,-128,128,160,2.019,0.155,3.584,0
2020390,64,64,-352,2.019,0.155,3.584,0
2020403,-32,-32,-32,2.019,0.155,3.584,0
2020415,64,96,32,2.019,0.155,3.584,0
2020429,-32,0,320,2.019,0.155,3.584,0
2020441,-96,-288,-192,2.019,0.155,3.584,0
2020454,224,128,-64,2.019,0.155,3.584,0
2020466,0,-32,0,2.019,0.155,3.584,0
2020478,192,32,96,2.019,0.155,3.584,0
2020490,-64,-128,-64,2.019,0.155,3.584,0
2020503,0,96,192,2.019,0.155,3.584,0
2020515,128,128,224,2.019,0.155,3.584,0
2020528,32,-32,64,2.019,0.155,3.584,0
2020540,320,96,-96,2.019,0.155,3.584,0
2020552,-224,128,-32,2.019,0.155,3.584,0
2020565,160,64,-64,2.019,0.155,3.584,0
2020577,-96,32,-224,2.019,0.155,3.584,0
2020589,224,192,32,2.019,0.155,3.584,0
2020601,-128,160,-160,2.019,0.155,3.584,0
2020613,64,-32,-192,2.019,0.155,3.584,0
2020625,-320,160,32,2.019,0.155,3.584,0
2020637,-288,32,-256,2.019,0.155,3.584,0
2020650,224,96,224,2.019,0.155,3.584,0
2020662,320,256,352,2.019,0.155,3.584,0
2020674,128,-128,128,2.019,0.155,3.584,0
2020687,-128,-96,-192,2.019,0.155,3.584,0
2020699,-128,160,-256,2.019,0.155,3.584,0
2020712,160,160,-32,2.019,0.155,3.584,0
2020724,160,224,96,2.019,0.155,3.584,0
2020736,-96,32,-160,2.019,0.155,3.584,0
2020749,-288,-96,-32,2.019,0.155,3.584,0
2020761,64,-128,-128,2.019,0.155,3.584,0
2020773,-160,0,-512,2.019,0.155,3.584,0
2020785,0,224,-32,2.019,0.155,3.584,0
2020797,160,0,288,2.019,0.155,3.584,0
2020809,32,-448,-128,2.019,0.155,3.584,0
2020821,-352,160,352,2.019,0.155,3.584,0
2020833,-192,288,-256,2.019,0.155,3.584,0
2020845,0,-160,64,2.019,0.155,3.584,0
2020857,64,-192,-192,2.019,0.155,3.584,0
2020869,128,-96,416,2.019,0.155,3.584,0
2020882,96,-192,192,2.019,0.155,3.584,0
2020894,128,-224,288,2.019,0.155,3.584,0
2020908,-416,-288,-64,2.019,0.155,3.584,0
2020920,256,-256,-128,2.019,0.155,3.584,0
2020932,-128,-64,32,2.019,0.155,3.584,0
2020944,448,-192,-416,2.019,0.155,3.584,0
2020957,-64,-192,256,2.019,0.155,3.584,0
2020969,-192,-96,160,2.019,0.155,3.584,0
2020982,0,-128,416,2.019,0.155,3.584,0
2020995,-96,0,-192,2.019,0.155,3.584,0
2021007,224,-192,-288,2.019,0.155,3.584,0
2021033,-64,32,128,2.019,0.155,3.584,0
2021045,32,-160,64,2.019,0.155,3.584,0
2021057,64,96,160,2.019,0.155,3.584,0
2021069,0,0,-32,2.019,0.155,3.584,0
2021081,288,64,-128,2.019,0.155,3.584,0
2021093,-32,64,128,2.019,0.155,3.584,0
2021105,0,160,0,2.019,0.155,3.584,0
2021117,32,160,32,2.019,0.155,3.584,0
2021130,160,-64,96,2.019,0.155,3.584,0
2021142,96,96,-256,2.019,0.155,3.584,0
2021155,32,96,0,2.019,0.155,3.584,0
2021167,-96,192,-160,2.019,0.155,3.584,0
2021179,96,96,-160,2.019,0.155,3.584,0
2021191,-32,-96,-160,2.019,0.155,3.584,0
2021203,192,256,96,2.019,0.155,3.584,0
2021215,-192,-64,-320,2.019,0.155,3.584,0
2021227,-224,-64,-192,2.019,0.155,3.584,0
2021239,192,0,96,2.019,0.155,3.584,0
2021251,-128,-160,320,2.019,0.155,3.584,0
2021265,-64,-96,352,2.019,0.155,3.584,0
2021279,0,-96,224,2.019,0.155,3.584,0
2021292,256,96,-32,2.019,0.155,3.584,0
2021305,64,128,-32,2.019,0.155,3.584,0
2021317,384,-352,-64,2.019,0.155,3.584,0
2021329,-256,256,32,2.019,0.155,3.584,0
2021341,160,352,0,2.019,0.155,3.584,0
2021353,64,128,192,2.019,0.155,3.584,0
2021365,32,-128,-224,2.019,0.155,3.584,0
2021377,96,0,128,2.019,0.155,3.584,0
2021390,-352,32,32,2.019,0.155,3.584,0
2021403,-64,-256,-32,2.019,0.155,3.584,0
2021415,192,64,256,2.019,0.155,3.584,0
2021428,0,160,-96,2.019,0.155,3.584,0
2021440,-32,-128,384,2.019,0.155,3.584,0
2021452,64,-128,0,2.019,0.155,3.584,0
2021464,-32,96,-384,2.019,0.155,3.584,0
2021477,-128,160,-192,2.019,0.155,3.584,0
2021489,0,-192,64,2.019,0.155,3.584,0
2021501,-224,-96,-64,2.019,0.155,3.584,0
2021513,-128,128,-64,2.019,0.155,3.584,0
2021526,32,160,384,2.019,0.155,3.584,0
2021538,-160,-128,-352,2.019,0.155,3.584,0
2021550,-64,-32,320,2.019,0.155,3.584,0
2021562,0,128,288,2.019,0.155,3.584,0
2021575,32,-96,-160,2.019,0.155,3.584,0
2021587,384,-192,32,2.019,0.155,3.584,0
2021599,-736,1568,256,2.019,0.155,3.584,0
2021611,-1056,352,448,2.019,0.155,3.584,0
2021624,-160,-256,160,2.019,0.155,3.584,0
2021636,-768,-2304,0,2.019,0.155,3.584,0
2021649,512,896,-160,2.019,0.155,3.584,0
2021661,-352,1056,-32,2.019,0.155,3.584,0
2021673,-1184,1088,192,2.019,0.155,3.584,0
2021685,32,-160,64,2.019,0.155,3.584,0
2021697,-192,-1632,-416,2.019,0.155,3.584,0
2021709,448,160,128,2.019,0.155,3.584,0
2021722,32,128,448,2.019,0.155,3.584,0
2021734,-96,512,320,2.019,0.155,3.584,0
2021746,-384,-448,64,2.019,0.155,3.584,0
2021758,-192,640,-544,2.019,0.155,3.584,0
2021770,0,-352,-544,2.019,0.155,3.584,0
2021782,544,-160,928,2.019,0.155,3.584,0
2021795,-64,736,544,2.019,0.155,3.584,0
2021808,96,-416,-160,2.019,0.155,3.584,0
2021820,288,672,-448,2.019,0.155,3.584,0
2021833,-480,-448,-576,2.019,0.155,3.584,0
2021846,-64,128,-32,2.019,0.155,3.584,0
2021858,256,-832,0,2.019,0.155,3.584,0
2021870,-64,224,64,2.019,0.155,3.584,0
2021883,-480,-32,32,2.019,0.155,3.584,0
2021895,512,-448,-448,2.019,0.155,3.584,0
2021908,-160,352,288,2.019,0.155,3.584,0
2021920,96,288,32,2.019,0.155,3.584,0
2021932,-192,256,224,2.019,0.155,3.584,0
2021944,480,768,192,2.019,0.155,3.584,0
2021957,288,256,-416,2.019,0.155,3.584,0
2021969,-896,-896,-864,2.019,0.155,3.584,0
2021981,-672,-352,64,2.019,0.155,3.584,0
2021993,-1280,-320,416,2.019,0.155,3.584,0
2022005,352,-544,1376,2.019,0.155,3.584,0
2022032,96,-224,-768,2.019,0.155,3.584,0
2022044,-800,128,-704,2.019,0.155,3.584,0
2022056,416,224,288,2.019,0.155,3.584,0
2022067,-96,32,928,2.363,2.353,-5.96,0
2022079,224,-736,384,2.363,2.353,-5.96,0
2022092,640,-1152,-192,2.363,2.353,-5.96,0
2022106,-256,32,-320,2.363,2.353,-5.96,0
2022118,-224,512,-288,2.363,2.353,-5.96,0
2022131,-512,672,512,2.363,2.353,-5.96,0
2022143,-160,352,-160,2.363,2.353,-5.96,0
2022155,0,-320,128,2.363,2.353,-5.96,0
2022168,512,-64,-320,2.363,2.353,-5.96,0
2022180,-192,-128,128,2.363,2.353,-5.96,0
2022193,-128,224,-96,2.363,2.353,-5.96,0
2022205,160,224,32,2.363,2.353,-5.96,0
2022217,0,0,160,2.363,2.353,-5.96,0
2022229,160,-384,-96,2.363,2.353,-5.96,0
2022243,192,-224,352,2.363,2.353,-5.96,0
2022256,-160,352,-192,2.363,2.353,-5.96,0
2022268,-256,256,-32,2.363,2.353,-5.96,0
2022282,64,352,256,2.363,2.353,-5.96,0
2022294,0,96,96,2.363,2.353,-5.96,0
2022306,64,128,-320,2.363,2.353,-5.96,0
2022318,352,64,224,2.363,2.353,-5.96,0
2022331,-192,0,128,2.363,2.353,-5.96,0
2022343,448,96,-128,2.363,2.353,-5.96,0
2022355,-160,224,-224,2.363,2.353,-5.96,0
2022367,288,160,128,2.363,2.353,-5.96,0
2022379,224,-192,96,2.363,2.353,-5.96,0
2022392,-608,-416,256,2.363,2.353,-5.96,0
2022404,448,-320,352,2.363,2.353,-5.96,0
2022416,-576,64,0,2.363,2.353,-5.96,0
2022428,128,288,-352,2.363,2.353,-5.96,0
2022440,128,672,192,2.363,2.353,-5.96,0
2022452,288,-224,-64,2.363,2.353,-5.96,0
2022464,96,-256,64,2.363,2.353,-5.96,0
2022478,-448,-576,-128,2.363,2.353,-5.96,0
2022490,640,-480,-544,2.363,2.353,-5.96,0
2022502,288,-96,192,2.363,2.353,-5.96,0
2022514,-256,608,480,2.363,2.353,-5.96,0
2022527,-128,352,96,2.363,2.353,-5.96,0
2022539,256,-64,-192,2.363,2.353,-5.96,0
2022551,384,-64,-288,2.363,2.353,-5.96,0
2022563,96,-160,64,2.363,2.353,-5.96,0
2022576,-640,-32,-96,2.363,2.353,-5.96,0
2022588,-256,-96,-32,2.363,2.353,-5.96,0
2022601,800,416,-192,2.363,2.353,-5.96,0
2022613,352,-160,160,2.363,2.353,-5.96,0
2022625,-576,-256,-32,2.363,2.353,-5.96,0
2022638,288,384,320,2.363,2.353,-5.96,0
2022652,96,32,64,2.363,2.353,-5.96,0
2022664,-288,480,64,2.363,2.353,-5.96,0
2022678,-736,64,-192,2.363,2.353,-5.96,0
2022690,-96,-96,288,2.363,2.353,-5.96,0
2022702,-256,192,0,2.363,2.353,-5.96,0
2022714,64,-128,-448,2.363,2.353,-5.96,0
2022727,192,0,-32,2.363,2.353,-5.96,0
2022739,480,-416,224,2.363,2.353,-5.96,0
2022752,256,-288,-256,2.363,2.353,-5.96,0
2022764,224,256,0,2.363,2.353,-5.96,0
2022777,-64,160,352,2.363,2.353,-5.96,0
2022789,-576,-320,-448,2.363,2.353,-5.96,0
2022801,32,-352,-288,2.363,2.353,-5.96,0
2022813,-64,-160,-32,2.363,2.353,-5.96,0
2022825,32,-96,64,2.363,2.353,-5.96,0
2022837,640,32,0,2.363,2.353,-5.96,0
2022850,64,128,640,2.363,2.353,-5.96,0
2022862,-64,64,-224,2.363,2.353,-5.96,0
2022874,352,-288,-352,2.363,2.353,-5.96,0
2022886,-320,-320,-384,2.363,2.353,-5.96,0
2022898,-384,-32,0,2.363,2.353,-5.96,0
2022910,-32,320,-96,2.363,2.353,-5.96,0
2022922,128,32,192,2.363,2.353,-5.96,0.2
2022934,32,256,128,2.363,2.353,-5.96,0.2
2022946,160,576,384,2.363,2.353,-5.96,0.2
2022958,288,32,96,2.363,2.353,-5.96,0.2
2022972,-64,32,128,2.363,2.353,-5.96,0.2
2022984,-224,-64,64,2.363,2.353,-5.96,0.2
2022996,160,-416,-544,2.363,2.353,-5.96,0.2
2023008,-224,-128,-288,2.363,2.353,-5.96,0.2
2023036,96,-96,480,2.363,2.353,-5.96,0.7
2023050,-352,-64,-160,2.363,2.353,-5.96,0.7
2023062,-32,-96,-224,2.363,2.353,-5.96,0.7
2023075,-96,96,64,2.363,2.353,-5.96,0.7
2023087,160,480,128,2.363,2.353,-5.96,0.7
2023099,-512,416,-224,2.363,2.353,-5.96,0.7
2023111,-544,288,-128,2.363,2.353,-5.96,0.7
2023123,-256,-288,-256,2.363,2.353,-5.96,0.8
2023135,160,-128,64,2.363,2.353,-5.96,0.8
2023147,512,-64,-64,2.363,2.353,-5.96,0.8
2023159,0,-32,-32,2.363,2.353,-5.96,0.8
2023171,224,-320,352,2.363,2.353,-5.96,0.8
2023183,-384,384,192,2.363,2.353,-5.96,0.8
2023196,0,416,0,2.363,2.353,-5.96,0.8
2023208,96,-64,-448,2.363,2.353,-5.96,0.8
2023221,-224,160,-352,2.363,2.353,-5.96,1.1
2023234,-128,-288,-160,2.363,2.353,-5.96,1.1
2023248,-256,-256,256,2.363,2.353,-5.96,1.1
2023260,0,192,160,2.363,2.353,-5.96,1.1
2023273,-192,-224,224,2.363,2.353,-5.96,1.1
2023285,224,-160,32,2.363,2.353,-5.96,1.1
2023297,-288,160,-448,2.363,2.353,-5.96,1.1
2023309,64,192,-480,2.363,2.353,-5.96,1.1
2023321,64,64,-64,2.363,2.353,-5.96,1.3
2023335,160,-128,352,2.363,2.353,-5.96,1.3
2023348,-256,64,864,2.363,2.353,-5.96,1.3
2023360,352,-32,576,2.363,2.353,-5.96,1.3
2023372,192,-192,-704,2.363,2.353,-5.96,1.3
2023385,256,0,-384,2.363,2.353,-5.96,1.3
2023398,-608,320,0,2.363,2.353,-5.96,1.3
2023410,-416,192,-64,2.363,2.353,-5.96,1.3
2023424,256,-96,64,2.363,2.353,-5.96,1.6
2023438,608,96,0,2.363,2.353,-5.96,1.6
2023451,160,0,416,2.363,2.353,-5.96,1.6
2023463,-160,-512,-448,2.363,2.353,-5.96,1.6
2023476,-192,-352,-608,2.363,2.353,-5.96,1.6
2023488,-672,576,-352,2.363,2.353,-5.96,1.6
2023500,-512,704,128,2.363,2.353,-5.96,1.6
2023512,-128,-96,288,2.363,2.353,-5.96,1.6
2023524,-448,384,736,2.363,2.353,-5.96,1.9
2023537,224,-64,-512,2.363,2.353,-5.96,1.9
2023550,-64,-96,320,2.363,2.353,-5.96,1.9
2023562,-480,160,-192,2.363,2.353,-5.96,1.9
2023575,-320,-160,64,2.363,2.353,-5.96,1.9
2023587,-672,-128,-256,2.363,2.353,-5.96,1.9
2023599,96,-32,-224,2.363,2.353,-5.96,1.9
2023612,672,416,896,2.363,2.353,-5.96,1.9
2023624,-192,352,288,2.363,2.353,-5.96,2.2
2023636,0,-352,-448,2.363,2.353,-5.96,2.2
2023648,576,64,-480,2.363,2.353,-5.96,2.2
2023660,-352,-192,-384,2.363,2.353,-5.96,2.2
2023672,-480,-128,736,2.363,2.353,-5.96,2.2
2023684,-192,160,1088,2.363,2.353,-5.96,2.2
2023696,-160,224,448,2.363,2.353,-5.96,2.2
2023708,352,256,-448,2.363,2.353,-5.96,2.2
2023720,544,-256,-320,2.363,2.353,-5.96,2.4
2023732,-192,96,-512,2.363,2.353,-5.96,2.4
2023744,-416,96,416,2.363,2.353,-5.96,2.4
2023756,224,416,800,2.363,2.353,-5.96,2.4
2023768,-128,64,288,2.363,2.353,-5.96,2.4
2023780,768,288,-1056,2.363,2.353,-5.96,2.4
2023793,32,224,-1952,2.363,2.353,-5.96,2.4
2023805,-544,-64,576,2.363,2.353,-5.96,2.4
2023817,224,-480,-384,2.363,2.353,-5.96,2.7
2023830,0,-832,448,2.363,2.353,-5.96,2.7
2023842,672,1056,320,2.363,2.353,-5.96,2.7
2023854,-544,224,-1440,2.363,2.353,-5.96,2.7
2023866,-256,-608,352,2.363,2.353,-5.96,2.7
2023878,-64,64,608,2.363,2.353,-5.96,2.7
2023890,-128,256,-1248,2.363,2.353,-5.96,2.7
2023903,-128,-96,576,2.363,2.353,-5.96,2.7
2023915,-192,-1024,768,2.363,2.353,-5.96,3.1
2023927,-96,64,1056,2.363,2.353,-5.96,3.1
2023939,352,256,-224,2.363,2.353,-5.96,3.1
2023951,96,-96,-2048,2.363,2.353,-5.96,3.1
2023963,-224,320,-1824,2.363,2.353,-5.96,3.1
2023976,-32,-160,1120,2.363,2.353,-5.96,3.1
2023988,-32,224,1632,2.363,2.353,-5.96,3.1
2024000,128,-224,-640,2.363,2.353,-5.96,3.1
2024028,-672,-448,544,2.363,2.353,-5.96,3.5
2024041,224,-896,1056,2.363,2.353,-5.96,3.5
2024053,-256,-576,-384,2.363,2.353,-5.96,3.5
2024065,1280,640,-288,2.363,2.353,-5.96,3.5
2024077,-768,480,-64,2.363,2.353,-5.96,3.5
2024090,-544,-672,-928,2.363,2.353,-5.96,3.5
2024103,-1568,-96,-416,2.363,2.353,-5.96,3.5
2024116,768,1024,448,2.363,2.353,-5.96,3.6
2024128,640,576,512,2.363,2.353,-5.96,3.6
2024141,-192,-416,-608,2.363,2.353,-5.96,3.6
2024153,128,0,128,2.363,2.353,-5.96,3.6
2024166,-1184,-448,512,2.363,2.353,-5.96,3.6
2024178,-608,800,-1216,2.363,2.353,-5.96,3.6
2024191,1248,1568,-2336,2.363,2.353,-5.96,3.6
2024203,512,-960,608,2.363,2.353,-5.96,3.6
2024216,-1152,-512,1568,2.363,2.353,-5.96,3.7
2024229,-1088,-928,544,2.363,2.353,-5.96,3.7
2024241,928,1088,-1088,2.363,2.353,-5.96,3.7
2024253,1280,416,-1600,2.363,2.353,-5.96,3.7
2024265,-448,-1632,160,2.363,2.353,-5.96,3.7
2024277,-864,1376,288,2.363,2.353,-5.96,3.7
2024289,-128,480,352,2.363,2.353,-5.96,3.7
2024301,1216,-64,-224,2.363,2.353,-5.96,3.7
2024314,800,-384,992,2.363,2.353,-5.96,3.7
2024325,-96,-1664,224,2.363,2.353,-5.96,4.1
2024337,672,288,-1344,2.363,2.353,-5.96,4.1
2024349,-288,928,-416,2.363,2.353,-5.96,4.1
2024361,-32,832,1376,2.363,2.353,-5.96,4.1
2024373,-1312,-736,800,2.363,2.353,-5.96,4.1
2024385,768,-1024,-320,2.363,2.353,-5.96,4.1
2024397,192,-128,1248,2.363,2.353,-5.96,4.1
2024409,-96,-768,-1664,2.363,2.353,-5.96,4.1
2024421,-864,-320,128,2.363,2.353,-5.96,4.4
2024433,-192,-224,-704,2.363,2.353,-5.96,4.4
2024445,-640,1568,672,2.363,2.353,-5.96,4.4
2024447,0,id:0x2EE,len:2,delta_voltage:9,nan,nan,4.4
2024457,480,-672,-1536,2.363,2.353,-5.96,4.4
2024470,160,-992,-1088,2.363,2.353,-5.96,4.4
2024482,-128,352,160,2.363,2.353,-5.96,4.4
2024495,1696,1920,992,2.363,2.353,-5.96,4.4
2024507,-384,-1856,256,2.363,2.353,-5.96,4.4
2024519,96,-992,-672,2.363,2.353,-5.96,4.9
2024531,-736,128,192,2.363,2.353,-5.96,4.9
2024544,1952,1568,1792,2.363,2.353,-5.96,4.9
2024556,-640,-1600,1632,2.363,2.353,-5.96,4.9
2024569,-1088,-992,-1056,2.363,2.353,-5.96,4.9
2024581,-2944,832,-256,2.363,2.353,-5.96,4.9
2024593,-736,2304,128,2.363,2.353,-5.96,4.9
2024605,-768,800,-1088,2.363,2.353,-5.96,4.9
2024619,928,-2240,2848,2.363,2.353,-5.96,5.3
2024633,192,-1536,864,2.363,2.353,-5.96,5.3
2024646,-1376,64,-2880,2.363,2.353,-5.96,5.3
2024658,-1280,1344,-1024,2.363,2.353,-5.96,5.3
2024671,1440,1248,448,2.363,2.353,-5.96,5.3
2024683,2688,1152,-768,2.363,2.353,-5.96,5.3
2024696,-672,-2208,1568,2.363,2.353,-5.96,5.3
2024708,-2112,-1280,2240,2.363,2.353,-5.96,5.3
2024720,-1952,864,480,2.363,2.353,-5.96,5.9
2024732,-1600,-288,160,2.363,2.353,-5.96,5.9
2024745,864,1280,-2304,2.363,2.353,-5.96,5.9
2024757,1088,-1664,1440,2.363,2.353,-5.96,5.9
2024770,704,-864,-640,2.363,2.353,-5.96,5.9
2024782,-256,-736,-576,2.363,2.353,-5.96,5.9
2024795,-640,1248,-448,2.363,2.353,-5.96,5.9
2024808,-2624,1888,-1408,2.363,2.353,-5.96,5.9
2024822,96,608,-416,2.363,2.353,-5.96,6.4
