,Time,X,Y,Z,X_f,Y_f,Z_f
0,2918276,0,-32,0,1.068721,-0.504631,-0.231132
1,2918374,0,64,64,1.067315,-0.442127,-0.089711
2,2918471,64,-32,32,1.150048,-0.472716,-0.019123
3,2918569,-32,160,-96,1.10647,-0.317224,-0.229926
4,2918666,-32,-32,0,1.062978,-0.347992,-0.229421
5,2918764,32,32,0,1.103594,-0.316589,-0.228919
6,2918861,64,-64,-32,1.18611,-0.378393,-0.298374
7,2918959,-96,0,-32,1.058615,-0.378025,-0.36757
8,2919056,0,96,0,1.057225,-0.284554,-0.366769
9,2919154,-32,-64,64,1.013887,-0.346407,-0.226795
10,2919251,32,64,-32,1.054484,-0.283922,-0.295828
11,2919349,32,32,0,1.094999,-0.252563,-0.295187
12,2919446,704,1120,-384,2.014637,0.83526,-1.125783
13,2919544,-224,-160,64,1.715173,0.67574,-0.984034
14,2919641,-320,-192,96,1.287552,0.484215,-0.773129
15,2919739,-32,96,64,1.243081,0.579431,-0.632305
16,2919836,32,-192,96,1.284143,0.387282,-0.4224
17,2919934,160,-160,32,1.495887,0.226797,-0.351989
18,2920031,-96,-32,96,1.365579,0.194479,-0.143062
19,2920129,96,-32,64,1.492139,0.162206,-0.00401
20,2920226,32,0,64,1.532962,0.162043,0.134617
21,2920324,32,-32,64,1.5737,0.129846,0.272822
22,2920421,-64,-96,0,1.486084,0.033646,0.272232
23,2920519,-32,32,0,1.441342,0.065665,0.271645
24,2920616,64,128,-32,1.524872,0.193764,0.202171
25,2920714,-96,-128,32,1.394665,0.065206,0.270522
26,2920811,-64,0,32,1.307302,0.06514,0.338623
27,2920909,-224,-288,32,1.006316,-0.223905,0.406475
28,2921006,-192,32,160,0.747665,-0.191418,0.747978
29,2921104,-224,0,160,0.445721,-0.191225,1.089106
30,2921201,160,128,-160,0.660753,-0.062163,0.743686
31,2921299,-32,-160,-160,0.616655,-0.223437,0.398639
32,2921396,-128,96,96,0.443121,-0.126198,0.604071
33,2921494,-32,-64,160,0.399294,-0.190805,0.946505
34,2921591,160,-32,-96,0.614744,-0.222987,0.738018
35,2921689,32,0,128,0.65719,-0.222762,1.011641
36,2921786,-32,0,96,0.613056,-0.222537,1.215952
37,2921884,-64,-32,0,0.525797,-0.254611,1.213338
