,Timestamp,Data,X,Y,Z
0,18:54:03:946,0000227081 [app] INFO: GYRO: ,-0.505,0.402,0.167
1,18:54:04:082,0000227172 [app] INFO: GYRO: ,-0.505,0.402,0.167
2,18:54:04:176,0000227307 [app] INFO: GYRO: ,-0.505,0.402,0.167
3,18:54:04:261,0000227397 [app] INFO: GYRO: ,-0.505,0.402,0.167
4,18:54:04:357,0000227487 [app] INFO: GYRO: ,-0.505,0.402,0.167
5,18:54:04:441,0000227577 [app] INFO: GYRO: ,-0.505,0.402,0.167
6,18:54:04:534,0000227667 [app] INFO: GYRO: ,-0.505,0.402,0.167
7,18:54:04:621,0000227757 [app] INFO: GYRO: ,-0.505,0.402,0.167
8,18:54:04:710,0000227847 [app] INFO: GYRO: ,-0.505,0.402,0.167
9,18:54:04:799,0000227937 [app] INFO: GYRO: ,-0.505,0.402,0.167
10,18:54:04:890,0000228027 [app] INFO: GYRO: ,-0.505,0.402,0.167
11,18:54:04:979,0000228117 [app] INFO: GYRO: ,-0.505,0.402,0.167
12,18:54:05:070,0000228207 [app] INFO: GYRO: ,-0.505,0.402,0.167
13,18:54:05:160,0000228297 [app] INFO: GYRO: ,-0.505,0.402,0.167
14,18:54:05:250,0000228387 [app] INFO: GYRO: ,-0.505,0.402,0.167
15,18:54:05:341,0000228477 [app] INFO: GYRO: ,-0.505,0.402,0.167
16,18:54:05:429,0000228567 [app] INFO: GYRO: ,-0.505,0.402,0.167
17,18:54:05:519,0000228657 [app] INFO: GYRO: ,-0.505,0.402,0.167
18,18:54:05:609,0000228747 [app] INFO: GYRO: ,-0.505,0.402,0.167
19,18:54:05:700,0000228837 [app] INFO: GYRO: ,-0.505,0.402,0.167
20,18:54:05:810,0000228927 [app] INFO: GYRO: ,-0.505,0.402,0.167
21,18:54:05:882,0000229017 [app] INFO: GYRO: ,-0.505,0.402,0.167
22,18:54:05:971,0000229107 [app] INFO: GYRO: ,-0.505,0.402,0.167
23,18:54:06:106,0000229197 [app] INFO: GYRO: ,-0.505,0.402,0.167
24,18:54:06:207,0000229332 [app] INFO: GYRO: ,-0.505,0.402,0.167
25,18:54:06:332,0000229422 [app] INFO: GYRO: ,-0.505,0.402,0.167
26,18:54:06:421,0000229557 [app] INFO: GYRO: ,-0.505,0.402,0.167
27,18:54:06:512,0000229647 [app] INFO: GYRO: ,-0.505,0.402,0.167
28,18:54:06:601,0000229737 [app] INFO: GYRO: ,-0.505,0.402,0.167
29,18:54:06:691,0000229827 [app] INFO: GYRO: ,-0.505,0.402,0.167
30,18:54:06:780,0000229917 [app] INFO: GYRO: ,-0.505,0.402,0.167
31,18:54:06:872,0000230007 [app] INFO: GYRO: ,-0.505,0.402,0.167
32,18:54:06:963,0000230097 [app] INFO: GYRO: ,-0.505,0.402,0.167
33,18:54:07:051,0000230187 [app] INFO: GYRO: ,-0.505,0.402,0.167
34,18:54:07:142,0000230277 [app] INFO: GYRO: ,-0.505,0.402,0.167
35,18:54:07:232,0000230367 [app] INFO: GYRO: ,-0.505,0.402,0.167
36,18:54:07:323,0000230457 [app] INFO: GYRO: ,-0.505,0.402,0.167
37,18:54:07:411,0000230547 [app] INFO: GYRO: ,-0.505,0.402,0.167
38,18:54:07:547,0000230637 [app] INFO: GYRO: ,-0.505,0.402,0.167
39,18:54:07:634,0000230772 [app] INFO: GYRO: ,-0.505,0.402,0.167
40,18:54:07:725,0000230862 [app] INFO: GYRO: ,-0.505,0.402,0.167
41,18:54:07:815,0000230952 [app] INFO: GYRO: ,-0.505,0.402,0.167
42,18:54:07:905,0000231042 [app] INFO: GYRO: ,-0.505,0.402,0.167
43,18:54:07:998,0000231132 [app] INFO: GYRO: ,-0.505,0.402,0.167
