,Timestamp,Data,X,Y,Z
0,18:56:36:812,0000379945 [app] INFO: GYRO: ,0.066,0.027,0.901
1,18:56:36:902,0000380036 [app] INFO: GYRO: ,0.066,0.027,0.901
2,18:56:36:992,0000380126 [app] INFO: GYRO: ,0.066,0.027,0.901
3,18:56:37:082,0000380216 [app] INFO: GYRO: ,0.066,0.027,0.901
4,18:56:37:171,0000380306 [app] INFO: GYRO: ,0.066,0.027,0.901
5,18:56:37:262,0000380396 [app] INFO: GYRO: ,0.066,0.027,0.901
6,18:56:37:397,0000380486 [app] INFO: GYRO: ,0.066,0.027,0.901
7,18:56:37:485,0000380621 [app] INFO: GYRO: ,0.066,0.027,0.901
8,18:56:37:577,0000380711 [app] INFO: GYRO: ,0.066,0.027,0.901
9,18:56:37:665,0000380801 [app] INFO: GYRO: ,0.066,0.027,0.901
10,18:56:37:758,0000380891 [app] INFO: GYRO: ,0.066,0.027,0.901
11,18:56:37:849,0000380981 [app] INFO: GYRO: ,0.066,0.027,0.901
12,18:56:37:936,0000381071 [app] INFO: GYRO: ,0.066,0.027,0.901
13,18:56:38:072,0000381161 [app] INFO: GYRO: ,0.066,0.027,0.901
14,18:56:38:162,0000381296 [app] INFO: GYRO: ,0.066,0.027,0.901
15,18:56:38:254,0000381386 [app] INFO: GYRO: ,0.066,0.027,0.901
16,18:56:38:339,0000381476 [app] INFO: GYRO: ,0.066,0.027,0.901
17,18:56:38:433,0000381566 [app] INFO: GYRO: ,0.066,0.027,0.901
18,18:56:38:565,0000381701 [app] INFO: GYRO: ,0.066,0.027,0.901
19,18:56:38:656,0000381791 [app] INFO: GYRO: ,0.066,0.027,0.901
20,18:56:38:745,0000381891 [app] INFO: GYRO: ,0.066,0.027,0.901
21,18:56:38:841,0000381971 [app] INFO: GYRO: ,0.066,0.027,0.901
22,18:56:38:925,0000382061 [app] INFO: GYRO: ,0.066,0.027,0.901
23,18:56:39:105,0000382151 [app] INFO: GYRO: ,0.066,0.027,0.901
24,18:56:39:243,0000382331 [app] INFO: GYRO: ,0.066,0.027,0.901
25,18:56:39:377,0000382466 [app] INFO: GYRO: ,0.066,0.027,0.901
26,18:56:39:467,0000382601 [app] INFO: GYRO: ,0.066,0.027,0.901
27,18:56:39:607,0000382736 [app] INFO: GYRO: ,0.066,0.027,0.901
28,18:56:39:690,0000382826 [app] INFO: GYRO: ,0.066,0.027,0.901
29,18:56:39:781,0000382916 [app] INFO: GYRO: ,-5.942,-2.039,17.409
30,18:56:39:915,0000383006 [app] INFO: GYRO: ,-5.942,-2.039,17.409
