,"Timestamp,Mode,Data",Timestamp,mode,Data,AX,AY,AZ,fAX,fAY,fAZ
0,"18:17:58:418,RX,0001799643 [app] INFO: ACCEL: ,32.000000,-288.000000,-224.000000,2.453399,-0.454532,2.579186",18:17:58:418,RX,0001799643 [app] INFO: ACCEL: ,32.000000,-288.000000,-224.000000,2.453399,-0.454532,2.579186
1,"18:17:58:509,RX,0001799734 [app] INFO: ACCEL: ,-96.000000,-32.000000,-32.000000,2.290591,-0.498440,2.506613",18:17:58:509,RX,0001799734 [app] INFO: ACCEL: ,-96.000000,-32.000000,-32.000000,2.290591,-0.498440,2.506613
2,"18:17:58:599,RX,0001799824 [app] INFO: ACCEL: ,64.000000,-64.000000,64.000000,2.392669,-0.586760,2.635491",18:17:58:599,RX,0001799824 [app] INFO: ACCEL: ,64.000000,-64.000000,64.000000,2.392669,-0.586760,2.635491
3,"18:17:58:688,RX,0001799914 [app] INFO: ACCEL: ,-32.000000,-32.000000,-64.000000,2.335802,-0.630445,2.495957",18:17:58:688,RX,0001799914 [app] INFO: ACCEL: ,-32.000000,-32.000000,-64.000000,2.335802,-0.630445,2.495957
4,"18:17:58:777,RX,0001800004 [app] INFO: ACCEL: ,-32.000000,-32.000000,64.000000,2.279083,-0.674036,2.624648",18:17:58:777,RX,0001800004 [app] INFO: ACCEL: ,-32.000000,-32.000000,64.000000,2.279083,-0.674036,2.624648
5,"18:17:58:871,RX,0001800094 [app] INFO: ACCEL: ,32.000000,-32.000000,-160.000000,2.328131,-0.717533,2.284667",18:17:58:871,RX,0001800094 [app] INFO: ACCEL: ,32.000000,-32.000000,-160.000000,2.328131,-0.717533,2.284667
6,"18:17:58:958,RX,0001800184 [app] INFO: ACCEL: ,-32.000000,-64.000000,0.000000,2.271540,-0.805336,2.279885",18:17:58:958,RX,0001800184 [app] INFO: ACCEL: ,-32.000000,-64.000000,0.000000,2.271540,-0.805336,2.279885
7,"18:17:59:051,RX,0001800274 [app] INFO: ACCEL: ,64.000000,32.000000,32.000000,2.373204,-0.759825,2.341962",18:17:59:051,RX,0001800274 [app] INFO: ACCEL: ,64.000000,32.000000,32.000000,2.373204,-0.759825,2.341962
8,"18:17:59:182,RX,0001800364 [app] INFO: ACCEL: ,-64.000000,160.000000,96.000000,2.263936,-0.536965,2.537296",18:17:59:182,RX,0001800364 [app] INFO: ACCEL: ,-64.000000,160.000000,96.000000,2.263936,-0.536965,2.537296
9,"18:17:59:321,RX,0001800499 [app] INFO: ACCEL: ,64.000000,320.000000,64.000000,2.365537,-0.091797,2.665455",18:17:59:321,RX,0001800499 [app] INFO: ACCEL: ,64.000000,320.000000,64.000000,2.365537,-0.091797,2.665455
10,"18:17:59:409,RX,0001800634 [app] INFO: ACCEL: ,0.000000,-192.000000,128.000000,2.361646,-0.359657,2.926573",18:17:59:409,RX,0001800634 [app] INFO: ACCEL: ,0.000000,-192.000000,128.000000,2.361646,-0.359657,2.926573
11,"18:17:59:498,RX,0001800724 [app] INFO: ACCEL: ,96.000000,128.000000,32.000000,2.515441,-0.180060,2.987169",18:17:59:498,RX,0001800724 [app] INFO: ACCEL: ,96.000000,128.000000,32.000000,2.515441,-0.180060,2.987169
12,"18:17:59:588,RX,0001800814 [app] INFO: ACCEL: ,0.000000,64.000000,-96.000000,2.511309,-0.090157,2.781166",18:17:59:588,RX,0001800814 [app] INFO: ACCEL: ,0.000000,64.000000,-96.000000,2.511309,-0.090157,2.781166
13,"18:17:59:678,RX,0001800904 [app] INFO: ACCEL: ,32.000000,32.000000,-96.000000,2.559676,-0.045210,2.575613",18:17:59:678,RX,0001800904 [app] INFO: ACCEL: ,32.000000,32.000000,-96.000000,2.559676,-0.045210,2.575613
14,"18:17:59:769,RX,0001800994 [app] INFO: ACCEL: ,-96.000000,96.000000,96.000000,2.398188,0.089211,2.769997",18:17:59:769,RX,0001800994 [app] INFO: ACCEL: ,-96.000000,96.000000,96.000000,2.398188,0.089211,2.769997
15,"18:17:59:862,RX,0001801084 [app] INFO: ACCEL: ,0.000000,160.000000,-160.000000,2.394258,0.313133,2.431401",18:17:59:862,RX,0001801084 [app] INFO: ACCEL: ,0.000000,160.000000,-160.000000,2.394258,0.313133,2.431401
16,"18:17:59:947,RX,0001801174 [app] INFO: ACCEL: ,-64.000000,32.000000,0.000000,2.285609,0.357583,2.426337",18:17:59:947,RX,0001801174 [app] INFO: ACCEL: ,-64.000000,32.000000,0.000000,2.285609,0.357583,2.426337
17,"18:18:00:041,RX,0001801264 [app] INFO: ACCEL: ,-64.000000,-224.000000,32.000000,2.177172,0.043097,2.487803",18:18:00:041,RX,0001801264 [app] INFO: ACCEL: ,-64.000000,-224.000000,32.000000,2.177172,0.043097,2.487803
18,"18:18:00:128,RX,0001801354 [app] INFO: ACCEL: ,0.000000,-32.000000,96.000000,2.173611,-0.001957,2.681871",18:18:00:128,RX,0001801354 [app] INFO: ACCEL: ,0.000000,-32.000000,96.000000,2.173611,-0.001957,2.681871
19,"18:18:00:218,RX,0001801444 [app] INFO: ACCEL: ,-64.000000,32.000000,160.000000,2.065563,0.043004,3.008290",18:18:00:218,RX,0001801444 [app] INFO: ACCEL: ,-64.000000,32.000000,160.000000,2.065563,0.043004,3.008290
20,"18:18:00:308,RX,0001801534 [app] INFO: ACCEL: ,96.000000,-64.000000,-128.000000,2.218892,-0.046904,2.736173",18:18:00:308,RX,0001801534 [app] INFO: ACCEL: ,96.000000,-64.000000,-128.000000,2.218892,-0.046904,2.736173
21,"18:18:00:398,RX,0001801624 [app] INFO: ACCEL: ,32.000000,0.000000,-64.000000,2.267515,-0.046839,2.597481",18:18:00:398,RX,0001801624 [app] INFO: ACCEL: ,32.000000,0.000000,-64.000000,2.267515,-0.046839,2.597481
22,"18:18:00:488,RX,0001801714 [app] INFO: ACCEL: ,64.000000,32.000000,-64.000000,2.368200,-0.001917,2.459180",18:18:00:488,RX,0001801714 [app] INFO: ACCEL: ,64.000000,32.000000,-64.000000,2.368200,-0.001917,2.459180
23,"18:18:00:578,RX,0001801804 [app] INFO: ACCEL: ,-32.000000,32.000000,-96.000000,2.312168,0.042907,2.254866",18:18:00:578,RX,0001801804 [app] INFO: ACCEL: ,-32.000000,32.000000,-96.000000,2.312168,0.042907,2.254866
24,"18:18:00:668,RX,0001801894 [app] INFO: ACCEL: ,32.000000,0.000000,0.000000,2.360524,0.042847,2.250187",18:18:00:668,RX,0001801894 [app] INFO: ACCEL: ,32.000000,0.000000,0.000000,2.360524,0.042847,2.250187
25,"18:18:00:803,RX,0001802028 [app] INFO: ACCEL: ,64.000000,0.000000,-64.000000,2.460819,0.042787,2.113004",18:18:00:803,RX,0001802028 [app] INFO: ACCEL: ,64.000000,0.000000,-64.000000,2.460819,0.042787,2.113004
26,"18:18:00:893,RX,0001802119 [app] INFO: ACCEL: ,-96.000000,32.000000,64.000000,2.300674,0.087390,2",18:18:00:893,RX,0001802119 [app] INFO: ACCEL: ,-96.000000,32.000000,64.000000,2.300674,0.087390,2
27,"18:18:00:983,RX,0001802209 [app] INFO: ACCEL: ,0.000000,0.000000,96.000000,2.296931,0.087268,2.434896",18:18:00:983,RX,0001802209 [app] INFO: ACCEL: ,0.000000,0.000000,96.000000,2.296931,0.087268,2.434896
28,"18:18:01:073,RX,0001802299 [app] INFO: ACCEL: ,0.000000,-64.000000,64.000000,2.293200,-0.001987,2.562152",18:18:01:073,RX,0001802299 [app] INFO: ACCEL: ,0.000000,-64.000000,64.000000,2.293200,-0.001987,2.562152
29,"18:18:01:163,RX,0001802389 [app] INFO: ACCEL: ,-32.000000,-96.000000,-32.000000,2.237580,-0.135669,2.490771",18:18:01:163,RX,0001802389 [app] INFO: ACCEL: ,-32.000000,-96.000000,-32.000000,2.237580,-0.135669,2.490771
30,"18:18:01:252,RX,0001802479 [app] INFO: ACCEL: ,-32.000000,-160.000000,32.000000,2.182101,-0.358405,2.551632",18:18:01:252,RX,0001802479 [app] INFO: ACCEL: ,-32.000000,-160.000000,32.000000,2.182101,-0.358405,2.551632
31,"18:18:01:342,RX,0001802569 [app] INFO: ACCEL: ,0.000000,128.000000,-32.000000,2.178569,-0.179244,2.480476",18:18:01:342,RX,0001802569 [app] INFO: ACCEL: ,0.000000,128.000000,-32.000000,2.178569,-0.179244,2.480476
32,"18:18:01:432,RX,0001802659 [app] INFO: ACCEL: ,32.000000,-64.000000,-64.000000,2.226770,-0.268428,2.343752",18:18:01:432,RX,0001802659 [app] INFO: ACCEL: ,32.000000,-64.000000,-64.000000,2.226770,-0.268428,2.343752
33,"18:18:01:523,RX,0001802749 [app] INFO: ACCEL: ,-32.000000,64.000000,96.000000,2.171505,-0.178630,2.536226",18:18:01:523,RX,0001802749 [app] INFO: ACCEL: ,-32.000000,64.000000,96.000000,2.171505,-0.178630,2.536226
