,Timestamp,AX,AY,AZ,fAX,fAY,fAZ
0,18:10:09:027,352,-1120,-1088,-44.076183,55.046425,-97.609222
1,18:10:09:118,928,32,768,-35.793819,54.783489,-92.298302
2,18:10:09:204,-8512,14016,5888,-108.783569,212.341125,-55.202663
3,18:10:09:295,2624,15424,-4928,-81.536301,428.819519,-88.810295
5,18:10:09:384,96,512,960,-79.68885,430.335266,-80.931335
6,18:10:09:478,-10368,-2752,-2720,-186.019135,373.290131,-101.018555
7,18:10:09:567,512,6560,6944,-177.427719,489.041809,-45.014019
8,18:10:09:659,-1728,-8448,-3328,-196.540497,305.01181,-74.521805
9,18:10:09:748,-3968,-5472,6944,-243.868744,168.11261,-7.934431
10,18:10:09:883,-7200,-2976,5920,-336.495972,87.137894,55.514175
11,18:10:10:014,-2784,320,-4352,-373.066101,93.342392,3.370388
12,18:10:10:109,1792,288,-192,-339.656189,98.417259,0.887248
13,18:10:10:239,288,2080,-928,-329.711304,148.95697,-10.815634
14,18:10:10:335,-128,768,-448,-326.526276,164.94722,-16.354881
15,18:10:10:422,864,-352,-448,-307.946533,151.773346,-21.802143
16,18:10:10:512,96,384,-32,-301.593811,157.602509,-21.930317
17,18:10:10:600,192,224,192,-293.890656,159.235718,-19.274324
18,18:10:10:692,224,160,192,-285.855164,159.254089,-16.672525
19,18:10:10:784,256,224,256,-277.491882,160.773941,-13.341623
20,18:10:10:874,160,32,-32,-270.771057,157.816681,-13.568012
21,18:10:11:006,-96,192,192,-268.104034,158.585999,-11.102776
22,18:10:11:097,416,32,-96,-257.786072,155.797928,-12.112912
23,18:10:11:232,544,-32,-256,-245.712311,151.740768,-14.985456
24,18:10:11:324,-128,320,288,-243.938446,155.312027,-11.441381
25,18:10:11:411,0,480,128,-240.308594,162.082443,-9.819513
27,18:10:11:591,384,-384,96,-226.30217,154.86734,-9.229645
28,18:10:11:683,224,-352,96,-219.736694,144.714798,-8.040026
29,18:10:11:776,-224,-96,64,-219.798508,139.940994,-7.233043
30,18:10:11:862,-160,-32,-160,-218.943863,136.581635,-8.927773
31,18:10:11:953,-64,-64,0,-216.758011,132.724823,-8.829522
32,18:10:12:043,0,-64,160,-213.733444,128.998932,-6.991453
33,18:10:12:134,96,-96,288,-209.452774,124.800598,-3.80382
34,18:10:12:221,0,224,160,-206.580048,126.625717,-2.042483
35,18:10:12:358,-96,-32,96,-205.077744,123.754387,-0.996094
36,18:10:12:489,-32,672,0,-202.752823,133.532257,-0.985555
37,18:10:12:584,-128,128,192,-201.758606,133.43428,1.035008
38,18:10:12:670,-128,96,-224,-200.789062,132.782745,-1.305607
39,18:10:12:851,-96,-704,32,-199.427521,118.457382,-0.96123
40,18:10:12:943,-224,64,32,-199.743347,117.525711,-0.62368
41,18:10:13:031,-96,256,224,-198.426208,119.857414,1.654819
42,18:10:13:214,-32,736,96,-196.335449,130.088333,2.606424
43,18:10:13:349,-192,-64,64,-196.281479,126.879753,3.220628
44,18:10:13:480,-96,-1088,96,-195.048462,107.047112,4.140749
45,18:10:13:573,352,-32,512,-188.390717,104.760284,9.137048
46,18:10:13:661,96,64,96,-184.93425,104.098969,9.991788
47,18:10:13:755,352,320,-544,-178.450516,107.548714,4.584289
48,18:10:13:843,-416,96,0,-181.31488,107.366318,4.539488
49,18:10:13:933,-448,-416,1056,-184.507156,99.226997,14.716548
50,18:10:14:111,-832,-1280,-1408,-192.206482,77.888252,0.794119
51,18:10:14:249,-448,-544,-1696,-195.250839,68.156013,-16.112698
52,18:10:14:337,448,96,416,-187.646912,68.590294,-11.706418
53,18:10:14:429,-576,-320,-640,-192.241714,62.619251,-18.102747
54,18:10:14:564,-352,-224,-512,-194.12413,58.248539,-23.142092
55,18:10:14:651,192,-128,-800,-189.613251,55.435265,-31.065207
56,18:10:14:744,416,512,-32,-182.566513,62.25396,-31.074789
57,18:10:14:834,0,-64,224,-180.441513,60.379417,-28.48645
58,18:10:14:920,192,416,384,-176.140869,65.595154,-24.321917
59,18:10:15:101,-672,-448,-704,-181.842957,58.119324,-31.170956
60,18:10:15:193,-96,-32,-1088,-180.857468,56.81329,-41.856129
61,18:10:15:325,-32,-576,-800,-179.1651,47.757328,-49.603447
62,18:10:15:418,-160,416,160,-178.94902,53.017582,-47.451401
63,18:10:15:515,224,512,-992,-174.454971,59.528622,-57.090576
64,18:10:15:696,-128,160,0,-173.938492,60.946674,-56.503067
65,18:10:15:778,-480,-1184,512,-177.3069,43.585735,-50.705738
66,18:10:15:867,320,-224,288,-171.860519,39.815197,-47.248165
67,18:10:15:955,448,-672,-64,-165.079453,29.872219,-47.418579
69,18:10:16:136,672,32,-512,-148.905075,16.268379,-48.105419
70,18:10:16:227,224,-1760,384,-144.790955,-8.34306,-43.765182
71,18:10:16:319,-512,96,512,-148.827591,-6.86713,-38.19109
72,18:10:16:407,160,-736,1216,-145.445251,-17.057774,-25.599945
73,18:10:16:496,320,768,736,-140.372025,-6.081149,-17.842096
74,18:10:16:586,-64,0,0,-139.540985,-5.995997,-17.659473
75,18:10:16:678,-96,288,992,-139.071594,-1.935648,-7.426137
76,18:10:16:812,-512,480,416,-143.052536,4.667717,-3.092677
77,18:10:16:908,224,544,640,-139.147095,12.026939,3.476843
78,18:10:16:992,192,-160,512,-135.635452,9.68658,8.684598
79,18:10:17:083,-608,-32,864,-140.624542,9.125163,17.442318
80,18:10:17:169,-224,64,-896,-141.504089,9.854973,8.027482
81,18:10:17:263,-224,-128,-1056,-142.366699,8.04367,-3.023798
82,18:10:17:350,608,256,224,-134.589111,11.268114,-0.640964
83,18:10:17:441,32,-416,-704,-132.854736,5.756361,-7.979541
84,18:10:17:579,608,416,704,-125.195953,11.025173,-0.52539
85,18:10:17:670,-160,224,-992,-125.557289,13.747627,-10.942936
86,18:10:17:756,672,32,160,-117.356468,13.978971,-9.130621
87,18:10:17:893,608,-96,96,-109.857414,12.601969,-8.024001
88,18:10:17:979,96,-128,160,-107.720703,10.85954,-6.270139
89,18:10:18:072,-224,224,96,-108.920097,13.475825,-5.21014
90,18:10:18:160,-416,480,96,-112.062439,19.156759,-4.169787
91,18:10:18:253,352,-352,256,-107.333221,14.650345,-1.517373
92,18:10:18:341,224,-864,-288,-103.959991,4.032856,-4.423461
93,18:10:18:433,-192,832,512,-104.853096,14.09005,0.791959
94,18:10:18:568,-960,1056,672,-113.455795,26.798622,7.571406
95,18:10:18:658,-1312,-640,1056,-125.595047,18.598053,18.194338
96,18:10:18:835,-1056,32,1248,-135.14534,18.763018,30.786051
97,18:10:18:926,-608,320,192,-140.038193,22.426836,32.459728
98,18:10:19:014,-864,-64,608,-147.522049,21.382113,38.392296
99,18:10:19:107,352,288,256,-142.337906,24.571922,40.637764
100,18:10:19:198,-480,96,480,-145.84053,25.420832,45.144516
101,18:10:19:285,-608,224,-448,-150.617065,27.756483,40.093906
102,18:10:19:375,1472,-768,64,-133.866592,18.469437,40.338627
104,18:10:19:470,-288,64,-1088,-135.492035,19.002943,28.899702
105,18:10:19:606,256,-1088,128,-131.394089,6.1703,29.916496
106,18:10:19:693,-128,-64,-608,-131.358658,5.348596,23.425068
107,18:10:19:873,-96,448,256,-130.993332,10.479216,25.797491
108,18:10:19:962,160,-864,-1024,-128.015396,0.371884,15.148161
109,18:10:20:054,-896,-352,288,-135.839905,-3.723934,17.945162
112,18:10:20:230,352,-96,416,-131.459244,-8.03655,17.93819
113,18:10:20:525,-160,-896,-640,-131.748688,-18.151529,11.255666
114,18:10:20:796,384,128,-480,-126.567741,-16.47654,6.25193
115,18:10:21:015,-544,64,-192,-130.761749,-15.562042,4.233535
116,18:10:21:088,608,-160,160,-123.352402,-17.187508,5.809566
117,18:10:21:335,-1056,-608,1504,-132.748886,-23.781141,20.862566
118,18:10:21:401,608,-736,-1024,-125.223816,-31.733824,10.160542
119,18:10:21:493,-160,384,-992,-125.578674,-27.078312,-0.210167
120,18:10:21:830,256,448,-1152,-121.72171,-21.773903,-12.241194
121,18:10:21:897,-704,32,160,-127.592453,-21.174549,-10.420064
122,18:10:22:334,608,-416,-192,-120.165321,-25.531313,-12.326324
123,18:10:22:391,416,576,-608,-114.727829,-18.914793,-18.537086
124,18:10:22:482,32,-1376,-320,-113.239098,-33.855267,-21.684513
125,18:10:22:573,-32,-96,-1088,-112.420738,-34.550144,-32.768097
126,18:10:22:708,32,608,-128,-110.978111,-27.436117,-33.768456
127,18:10:22:799,128,-288,-672,-108.607803,-30.325634,-40.415535
128,18:10:23:048,544,-608,-1376,-102.168137,-36.694134,-54.355946
