Timestamp,Mode,Data,AX,AY,AZ,fAX,fAY,fAZ
18:12:21:234,RX,0001462415 [app] INFO: ACCEL: ,-704,-480,576,26.766279,168.241196,8.758143
18:12:21:325,RX,0001462551 [app] INFO: ACCEL: ,-2016,1984,96,-3.032218,195.304382,10.175572
18:12:21:416,RX,0001462641 [app] INFO: ACCEL: ,-1024,-544,1824,-18.302029,184.058868,39.223648
18:12:21:507,RX,0001462731 [app] INFO: ACCEL: ,-960,-288,1600,-32.457813,176.883011,64.703102
18:12:21:603,RX,0001462821 [app] INFO: ACCEL: ,-1216,448,1792,-50.310703,180.980347,93.299789
18:12:21:685,RX,0001462911 [app] INFO: ACCEL: ,256,256,192,-45.652779,182.103195,94.96183
18:12:21:779,RX,0001463001 [app] INFO: ACCEL: ,-224,-544,-1856,-48.340317,171.379807,62.590416
18:12:21:865,RX,0001463091 [app] INFO: ACCEL: ,480,768,-1088,-40.469315,180.186935,43.09045
18:12:22:137,RX,0001463181 [app] INFO: ACCEL: ,352,-512,896,-34.648319,169.999329,57.626003
18:12:22:228,RX,0001463451 [app] INFO: ACCEL: ,1024,-256,-384,-19.056559,163.73613,50.101707
18:12:22:362,RX,0001463541 [app] INFO: ACCEL: ,-768,-288,-32,-30.153637,157.135818,48.714375
18:12:22:541,RX,0001463676 [app] INFO: ACCEL: ,-224,-832,-1056,-33.025684,142.764877,30.327734
18:12:22:721,RX,0001463856 [app] INFO: ACCEL: ,32,0,928,-32.072697,140.680527,45.343079
18:12:22:813,RX,0001464036 [app] INFO: ACCEL: ,-1248,-800,-224,-49.657913,127.106224,40.833679
18:12:22:900,RX,0001464126 [app] INFO: ACCEL: ,-672,-608,-800,-58.742767,116.455437,26.914721
18:12:23:037,RX,0001464216 [app] INFO: ACCEL: ,1568,608,-1408,-35.050419,123.577316,3.161851
18:12:23:125,RX,0001464351 [app] INFO: ACCEL: ,0,384,-320,-34.531136,127.332672,-2.248992
18:12:23:265,RX,0001464441 [app] INFO: ACCEL: ,1216,864,192,-16.261961,137.858337,0.970178
18:12:23:349,RX,0001464576 [app] INFO: ACCEL: ,448,288,384,-9.412431,140.004089,7.238278
18:12:23:529,RX,0001464666 [app] INFO: ACCEL: ,-704,-128,608,-19.603493,136.21669,16.984062
18:12:23:666,RX,0001464846 [app] INFO: ACCEL: ,64,-160,-192,-18.378042,132.067108,13.608526
