,"Timestamp,Mode,Data",Timestamp,mode,Data,AX,AY,AZ,fAX,fAY,fAZ
0,"18:16:32:074,RX,0001713110 [app] INFO: ACCEL: ,768.000000,-608.000000,352.000000,6.215045,4.296308,-7.954152",18:16:32:074,RX,0001713110 [app] INFO: ACCEL: ,768.000000,-608.000000,352.000000,6.215045,4.296308,-7.954152
1,"18:16:32:294,RX,0001713380 [app] INFO: ACCEL: ,704.000000,-256.000000,320.000000,14.198598,2.221990,-5.066761",18:16:32:294,RX,0001713380 [app] INFO: ACCEL: ,704.000000,-256.000000,320.000000,14.198598,2.221990,-5.066761
3,"18:16:32:514,RX,0001713605 [app] INFO: ACCEL: ,-512.000000,-704.000000,384.000000,8.164200,-3.390279,-1.649140",18:16:32:514,RX,0001713605 [app] INFO: ACCEL: ,-512.000000,-704.000000,384.000000,8.164200,-3.390279,-1.649140
4,"18:16:32:606,RX,0001713830 [app] INFO: ACCEL: ,768.000000,192.000000,256.000000,16.868759,-1.828191,0.611687",18:16:32:606,RX,0001713830 [app] INFO: ACCEL: ,768.000000,192.000000,256.000000,16.868759,-1.828191,0.611687
5,"18:16:32:878,RX,0001713920 [app] INFO: ACCEL: ,-320.000000,-672.000000,-448.000000,12.996037,-7.164129,-3.310493",18:16:32:878,RX,0001713920 [app] INFO: ACCEL: ,-320.000000,-672.000000,-448.000000,12.996037,-7.164129,-3.310493
6,"18:16:33:057,RX,0001714280 [app] INFO: ACCEL: ,768.000000,-416.000000,-736.000000,21.634241,-10.436525,-9.717303",18:16:33:057,RX,0001714280 [app] INFO: ACCEL: ,768.000000,-416.000000,-736.000000,21.634241,-10.436525,-9.717303
7,"18:16:33:146,RX,0001714370 [app] INFO: ACCEL: ,-672.000000,224.000000,-320.000000,13.670837,-8.559854,-12.446036",18:16:33:146,RX,0001714370 [app] INFO: ACCEL: ,-672.000000,224.000000,-320.000000,13.670837,-8.559854,-12.446036
8,"18:16:33:234,RX,0001714460 [app] INFO: ACCEL: ,-352.000000,-256.000000,800.000000,9.463416,-10.534029,-5.319825",18:16:33:234,RX,0001714460 [app] INFO: ACCEL: ,-352.000000,-256.000000,800.000000,9.463416,-10.534029,-5.319825
9,"18:16:33:325,RX,0001714550 [app] INFO: ACCEL: ,1312.000000,192.000000,-768.000000,24.387087,-8.923052,-12.058162",18:16:33:325,RX,0001714550 [app] INFO: ACCEL: ,1312.000000,192.000000,-768.000000,24.387087,-8.923052,-12.058162
10,"18:16:33:462,RX,0001714640 [app] INFO: ACCEL: ,480.000000,768.000000,-928.000000,29.680975,-2.767453,-20.200974",18:16:33:462,RX,0001714640 [app] INFO: ACCEL: ,480.000000,768.000000,-928.000000,29.680975,-2.767453,-20.200974
11,"18:16:33:549,RX,0001714775 [app] INFO: ACCEL: ,256.000000,-32.000000,-320.000000,32.303844,-3.000785,-22.890690",18:16:33:549,RX,0001714775 [app] INFO: ACCEL: ,256.000000,-32.000000,-320.000000,32.303844,-3.000785,-22.890690
12,"18:16:33:642,RX,0001714865 [app] INFO: ACCEL: ,416.000000,-384.000000,320.000000,36.719322,-6.019565,-19.823603",18:16:33:642,RX,0001714865 [app] INFO: ACCEL: ,416.000000,-384.000000,320.000000,36.719322,-6.019565,-19.823603
13,"18:16:33:733,RX,0001714955 [app] INFO: ACCEL: ,160.000000,96.000000,-448.000000,38.132504,-5.211522,-23.645399",18:16:33:733,RX,0001714955 [app] INFO: ACCEL: ,160.000000,96.000000,-448.000000,38.132504,-5.211522,-23.645399
14,"18:16:33:820,RX,0001715045 [app] INFO: ACCEL: ,160.000000,704.000000,-896.000000,39.517021,0.372903,-31.428434",18:16:33:820,RX,0001715045 [app] INFO: ACCEL: ,160.000000,704.000000,-896.000000,39.517021,0.372903,-31.428434
15,"18:16:33:912,RX,0001715135 [app] INFO: ACCEL: ,224.000000,-416.000000,288.000000,41.594353,-2.925833,-28.554897",18:16:33:912,RX,0001715135 [app] INFO: ACCEL: ,224.000000,-416.000000,288.000000,41.594353,-2.925833,-28.554897
16,"18:16:34:000,RX,0001715225 [app] INFO: ACCEL: ,864.000000,256.000000,-320.000000,50.785179,-0.873790,-31.169777",18:16:34:000,RX,0001715225 [app] INFO: ACCEL: ,864.000000,256.000000,-320.000000,50.785179,-0.873790,-31.169777
17,"18:16:34:092,RX,0001715315 [app] INFO: ACCEL: ,448.000000,416.000000,-32.000000,55.246605,2.420887,-31.177202",18:16:34:092,RX,0001715315 [app] INFO: ACCEL: ,448.000000,416.000000,-32.000000,55.246605,2.420887,-31.177202
18,"18:16:34:180,RX,0001715405 [app] INFO: ACCEL: ,288.000000,-384.000000,-704.000000,57.852108,-0.634228,-37.141483",18:16:34:180,RX,0001715405 [app] INFO: ACCEL: ,288.000000,-384.000000,-704.000000,57.852108,-0.634228,-37.141483
19,"18:16:34:272,RX,0001715495 [app] INFO: ACCEL: ,-448.000000,256.000000,1056.000000,52.226376,1.394289,-27.408304",18:16:34:272,RX,0001715495 [app] INFO: ACCEL: ,-448.000000,256.000000,1056.000000,52.226376,1.394289,-27.408304
20,"18:16:34:360,RX,0001715585 [app] INFO: ACCEL: ,0.000000,-224.000000,-288.000000,51.646191,-0.382327,-29.757925",18:16:34:360,RX,0001715585 [app] INFO: ACCEL: ,0.000000,-224.000000,-288.000000,51.646191,-0.382327,-29.757925
21,"18:16:34:449,RX,0001715675 [app] INFO: ACCEL: ,-672.000000,-160.000000,544.000000,43.687302,-1.636219,-24.604391",18:16:34:449,RX,0001715675 [app] INFO: ACCEL: ,-672.000000,-160.000000,544.000000,43.687302,-1.636219,-24.604391
22,"18:16:34:542,RX,0001715765 [app] INFO: ACCEL: ,-640.000000,672.000000,640.000000,36.143238,3.630977,-18.620729",18:16:34:542,RX,0001715765 [app] INFO: ACCEL: ,-640.000000,672.000000,640.000000,36.143238,3.630977,-18.620729
