Timestamp,Mode,Data,X,Y,Z
18:54:03:946,RX,0000227081 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:04:082,RX,0000227172 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:04:176,RX,0000227307 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:04:261,RX,0000227397 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:04:357,RX,0000227487 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:04:441,RX,0000227577 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:04:534,RX,0000227667 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:04:621,RX,0000227757 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:04:710,RX,0000227847 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:04:799,RX,0000227937 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:04:890,RX,0000228027 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:04:979,RX,0000228117 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:05:070,RX,0000228207 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:05:160,RX,0000228297 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:05:250,RX,0000228387 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:05:341,RX,0000228477 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:05:429,RX,0000228567 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:05:519,RX,0000228657 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:05:609,RX,0000228747 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:05:700,RX,0000228837 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:05:810,RX,0000228927 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:05:882,RX,0000229017 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:05:971,RX,0000229107 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:06:106,RX,0000229197 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:06:207,RX,0000229332 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:06:332,RX,0000229422 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:06:421,RX,0000229557 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:06:512,RX,0000229647 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:06:601,RX,0000229737 [app] INFO: GYRO: ,-0.505,0.402,0.167
18:54:06:691,RX,0000229827 [app] INFO: GYRO: ,-0.505,0.402,0.167
