Timestamp,Mode,Data,X,Y,Z
18:56:36:812,RX,0000379945 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:36:902,RX,0000380036 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:36:992,RX,0000380126 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:37:082,RX,0000380216 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:37:171,RX,0000380306 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:37:262,RX,0000380396 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:37:397,RX,0000380486 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:37:485,RX,0000380621 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:37:577,RX,0000380711 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:37:665,RX,0000380801 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:37:758,RX,0000380891 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:37:849,RX,0000380981 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:37:936,RX,0000381071 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:38:072,RX,0000381161 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:38:162,RX,0000381296 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:38:254,RX,0000381386 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:38:339,RX,0000381476 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:38:433,RX,0000381566 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:38:565,RX,0000381701 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:38:656,RX,0000381791 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:38:745,RX,0000381891 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:38:841,RX,0000381971 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:38:925,RX,0000382061 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:39:105,RX,0000382151 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:39:243,RX,0000382331 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:39:377,RX,0000382466 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:39:467,RX,0000382601 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:39:607,RX,0000382736 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:39:690,RX,0000382826 [app] INFO: GYRO: ,0.066,0.027,0.901
18:56:39:781,RX,0000382916 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:39:915,RX,0000383006 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:40:006,RX,0000383141 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:40:139,RX,0000383276 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:40:232,RX,0000383366 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:40:365,RX,0000383456 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:40:456,RX,0000383591 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:40:549,RX,0000383681 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:40:637,RX,0000383771 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:40:725,RX,0000383861 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:40:818,RX,0000383951 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:40:906,RX,0000384041 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:41:042,RX,0000384131 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:41:133,RX,0000384266 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:41:222,RX,0000384356 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:41:328,RX,0000384446 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:41:403,RX,0000384536 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:41:490,RX,0000384626 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:41:579,RX,0000384716 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:41:760,RX,0000384806 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:41:851,RX,0000384986 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:41:942,RX,0000385076 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:42:033,RX,0000385166 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:42:122,RX,0000385256 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:42:209,RX,0000385346 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:42:346,RX,0000385436 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:42:436,RX,0000385571 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:42:571,RX,0000385661 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:42:710,RX,0000385841 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:42:803,RX,0000385931 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:42:932,RX,0000386021 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:43:068,RX,0000386156 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:43:205,RX,0000386291 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:43:291,RX,0000386426 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:43:380,RX,0000386516 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:43:519,RX,0000386606 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:43:698,RX,0000386741 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:43:785,RX,0000386921 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:43:969,RX,0000387011 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:44:054,RX,0000387191 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:44:193,RX,0000387281 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:44:280,RX,0000387416 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:44:417,RX,0000387506 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:44:551,RX,0000387641 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:44:640,RX,0000387776 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:44:731,RX,0000387866 [app] INFO: GYRO: ,-5.942,-2.039,17.409
18:56:44:865,RX,0000387956 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:45:004,RX,0000388091 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:45:090,RX,0000388226 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:45:181,RX,0000388316 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:45:272,RX,0000388406 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:45:587,RX,0000388496 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:45:722,RX,0000388811 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:45:856,RX,0000388946 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:45:946,RX,0000389081 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:46:126,RX,0000389171 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:46:259,RX,0000389351 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:46:349,RX,0000389486 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:46:485,RX,0000389621 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:46:731,RX,0000389711 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:46:847,RX,0000389936 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:46:938,RX,0000390071 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:47:029,RX,0000390161 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:47:115,RX,0000390251 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:47:210,RX,0000390341 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:47:296,RX,0000390431 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:47:389,RX,0000390521 [app] INFO: GYRO: ,0.807,0.062,0.522
18:56:47:525,RX,0000390611 [app] INFO: GYRO: ,0.807,0.062,0.522
