,Timestamp,Data,X,Y,Z
0,18:53:24:751,0000187888 [app] INFO: GYRO: ,7.016,0.871,-2.113
1,18:53:24:841,0000187977 [app] INFO: GYRO: ,7.016,0.871,-2.113
2,18:53:24:930,0000188067 [app] INFO: GYRO: ,7.016,0.871,-2.113
3,18:53:25:023,0000188157 [app] INFO: GYRO: ,7.016,0.871,-2.113
4,18:53:25:113,0000188247 [app] INFO: GYRO: ,7.016,0.871,-2.113
5,18:53:25:201,0000188337 [app] INFO: GYRO: ,7.016,0.871,-2.113
6,18:53:25:292,0000188427 [app] INFO: GYRO: ,7.016,0.871,-2.113
7,18:53:25:383,0000188517 [app] INFO: GYRO: ,7.016,0.871,-2.113
8,18:53:25:471,0000188607 [app] INFO: GYRO: ,7.016,0.871,-2.113
9,18:53:25:559,0000188697 [app] INFO: GYRO: ,7.016,0.871,-2.113
10,18:53:25:652,0000188787 [app] INFO: GYRO: ,7.016,0.871,-2.113
11,18:53:25:792,0000188877 [app] INFO: GYRO: ,7.016,0.871,-2.113
12,18:53:25:875,0000189012 [app] INFO: GYRO: ,7.016,0.871,-2.113
13,18:53:25:967,0000189102 [app] INFO: GYRO: ,7.016,0.871,-2.113
14,18:53:26:054,0000189192 [app] INFO: GYRO: ,7.016,0.871,-2.113
15,18:53:26:150,0000189282 [app] INFO: GYRO: ,7.016,0.871,-2.113
16,18:53:26:238,0000189372 [app] INFO: GYRO: ,7.016,0.871,-2.113
17,18:53:26:327,0000189462 [app] INFO: GYRO: ,7.016,0.871,-2.113
18,18:53:26:416,0000189552 [app] INFO: GYRO: ,7.016,0.871,-2.113
19,18:53:26:508,0000189642 [app] INFO: GYRO: ,7.016,0.871,-2.113
20,18:53:26:596,0000189732 [app] INFO: GYRO: ,7.016,0.871,-2.113
21,18:53:26:689,0000189822 [app] INFO: GYRO: ,7.016,0.871,-2.113
22,18:53:26:775,0000189912 [app] INFO: GYRO: ,7.016,0.871,-2.113
23,18:53:26:865,0000190002 [app] INFO: GYRO: ,7.016,0.871,-2.113
24,18:53:27:008,0000190092 [app] INFO: GYRO: ,7.016,0.871,-2.113
25,18:53:27:091,0000190227 [app] INFO: GYRO: ,7.016,0.871,-2.113
26,18:53:27:179,0000190317 [app] INFO: GYRO: ,7.016,0.871,-2.113
27,18:53:27:271,0000190407 [app] INFO: GYRO: ,7.016,0.871,-2.113
28,18:53:27:363,0000190497 [app] INFO: GYRO: ,7.016,0.871,-2.113
